KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
92,1,5,1,1,0,10,35,2,0,9,5,2,2,2,3,,,5,35,8////,,kA kE
38,1,5,1,1,2,15,5,1,1,1,1,2,3,1,1,1,,,8,8////,,
51,1,5,1,1,2,15,5,1,1,1,1,2,3,1,1,1,,,11,8////,,
22,1,5,1,2,0,9,40,2,1,4,3,2,1,1,4,1,,,5,8////,c-d-e,
15,1,5,1,2,0,12,15,2,13,8,7,5,1,1,3,1,1,20,8,8////,b-c-d-e-f,
15,1,5,1,2,0,12,20,2,12,8,7,5,4,1,3,2,1,20,8,8////,,
15,1,5,1,2,0,12,50,2,9,8,7,5,5,1,3,1,1,19,8,8////,,
32,1,5,1,2,0,14,10,,1,,,,1,1,1,1,,,8,8////,,
31,1,5,1,2,2,15,20,2,3,9,1,8,3,2,1,2,,,8,8////,,"in einem durchziehenden Ci-Feld, teilweise sehr grell"
31,1,5,1,2,2,15,35,2,2,9,1,8,2,2,1,1,,,8,8////,,in dem sich auflösenden Ci-Feld
38,2,5,1,3,0,6,30,1,3,8,3,,1,1,0,1,,,11,8////,b-c-d-e-f,kA kE
95,2,5,1,4,2,4,15,1,12,8,3,7,1,2,0,2,1,1,24,8////,,
92,1,5,1,4,0,10,45,2,1,9,5,2,2,2,0,,,0,35,8////,,kA kE
4,1,5,1,4,0,14,50,2,1,1,3,3,2,1,4,1,1,,8,8////,,"DD:1/5', UH6', Föhn"
15,1,5,1,4,0,16,5,1,0,1,2,2,8,1,3,2,1,11,8,802//,,
53,1,5,1,5,0,8,15,1,2,1,1,2,3,1,1,1,,,17,8////,,kA/kE/vor allem weiß!
38,1,5,1,5,0,9,45,1,1,,1,,3,1,1,1,,,11,8////,,
22,1,5,1,5,0,10,40,1,1,4,5,2,1,1,4,1,,,5,8////,c-d-e,
13,1,5,1,5,0,11,25,2,3,8,3,2,1,0,1,1,,,5,8////,c-d-e-f,
46,1,5,1,5,2,12,35,2,4,7,5,9,1,1,1,1,0,,8,8////,c-d-e-f,kE
46,1,5,1,5,2,12,35,2,4,7,5,9,3,1,1,1,0,,8,8////,,kE
46,1,5,1,5,2,12,50,2,2,7,5,9,11,1,1,1,0,,8,8////,,kA
15,1,5,1,5,0,14,5,1,2,8,6,2,1,1,3,1,1,,8,8////,b-c-d-e-f,
15,1,5,1,5,0,14,10,1,1,8,6,2,5,0,3,1,1,,8,8////,,
15,1,5,1,5,0,15,55,1,1,6,7,0,8,1,3,2,1,,8,815//,,
92,1,5,1,6,0,11,20,1,6,9,5,9,2,2,1,,,,35,8////,,kA kE UH UB
46,1,5,1,6,2,13,40,1,4,4,1,5,1,1,1,1,0,,8,8////,e-f-g,kA
3,1,5,1,6,0,14,20,1,2,2,1,6,4,1,4,1,2,0,11,8////,,RR nach 30 min
72,1,5,1,6,2,15,45,1,1,3,1,5,2,0,4,2,,,6,8////,,
15,1,5,1,6,0,16,5,1,1,2,2,5,8,1,3,2,1,,8,802//,,
46,1,5,1,6,2,16,10,1,2,2,1,5,8,1,0,1,0,,8,810//,,
31,2,5,1,7,2,6,5,,1,9,,9,8,2,0,1,,,8,805//,,"kA, kE, nicht beobachtbar ob an Ci oder Ac entstanden"
3,1,5,1,7,0,8,35,1,2,2,1,2,3,1,3,1,1,,11,8////,,
53,1,5,1,7,0,9,0,1,,,,,2,1,0,1,,,17,8////,,nur ein sehr kleiner weißer Abschnitt des NS-Schweifes
4,1,5,1,7,2,9,55,2,1,8,3,8,2,1,4,1,,,8,8////,,kE Föhn
38,1,5,1,7,0,11,35,1,4,7,1,0,1,1,1,1,1,,11,8////,a/d-e-f-g,
38,1,5,1,7,0,11,35,1,2,7,1,0,3,1,1,1,1,,11,8////,,
3,1,5,1,7,0,12,20,1,23,5,5,8,4,2,4,1,1,,11,8////,,UH
38,1,5,1,7,0,12,25,1,1,7,1,0,2,1,1,1,1,,11,8////,,
4,1,5,1,7,2,12,31,2,1,8,3,7,2,1,4,1,,,8,8////,,Föhn
4,1,5,1,7,2,12,31,2,0,8,3,7,3,1,4,2,,,8,8////,,Föhn
15,1,5,1,7,0,16,33,1,1,1,2,8,8,1,4,2,1,,8,804//,,Ac bis 17.15 rötlich angehaucht.
46,1,5,1,7,0,16,40,1,1,6,5,8,3,1,1,1,0,,8,8////,,kA
29,1,5,1,8,0,8,10,1,3,7,3,0,5,0,1,1,,,8,8////,,
29,1,5,1,8,0,8,30,1,2,7,3,0,2,1,1,1,,,8,8////,,
29,1,5,1,8,0,8,30,1,2,7,3,0,3,1,1,1,,,8,8////,,
29,1,5,1,8,0,8,35,1,3,6,3,0,1,0,1,1,,,8,8////,c-d-e,
3,1,5,1,8,0,12,20,1,1,1,2,0,3,1,4,1,2,,11,8////,,teils in Kondensstreifen
62,1,5,1,8,0,13,25,2,6,6,6,0,3,1,0,1,2,5,10,8////,,UH
13,1,5,1,8,0,14,30,2,1,8,3,0,1,0,1,1,,,5,8////,d,
13,1,5,1,8,0,14,30,2,5,8,3,0,2,1,1,2,,,5,8////,,UH 14.40-15
13,1,5,1,8,0,15,0,2,1,8,3,0,3,2,1,2,,,5,8////,,
3,1,5,1,8,0,16,15,2,2,1,3,0,3,1,3,1,2,,11,8////,,
29,1,5,1,9,0,8,20,1,2,5,5,0,5,1,1,1,,,8,8////,,
2,1,5,1,9,0,10,10,1,2,4,5,8,1,1,1,1,,,8,8////,a-b,
2,1,5,1,9,0,10,10,1,2,4,5,8,2,0,1,1,,,8,8////,,
64,1,5,1,9,0,13,30,1,2,5,1,5,4,1,0,1,1,17,7,8////,,
31,1,5,1,9,2,14,10,1,2,4,1,3,1,1,1,1,,,8,8////,c-d-e,
62,1,5,1,9,0,14,15,2,6,8,5,0,3,1,0,1,,,10,8////,,UH 3x kurz sichtbar
29,1,5,1,9,0,15,5,1,1,2,1,5,3,1,1,1,,,8,8////,,
22,1,5,1,9,0,15,10,1,1,5,1,,3,2,1,2,,,5,8////,,
64,1,5,1,9,0,15,35,1,2,7,5,2,4,2,3,1,1,15,7,8////,,
29,1,5,1,9,0,15,55,1,2,2,1,5,8,1,0,2,,,8,805//,,
15,1,5,1,9,0,16,5,2,1,8,6,0,8,1,3,2,1,13,8,806//,,
38,1,5,1,10,0,9,20,1,6,1,1,0,2,1,1,1,,,11,8////,,
34,1,5,1,10,2,9,25,1,1,9,1,5,3,2,1,1,,,3,8////,,Tangerhütte
38,1,5,1,10,0,9,50,1,8,1,1,0,1,0,0,1,,,11,8////,b-c-d-e-f,
38,1,5,1,10,0,9,50,1,9,1,1,0,5,1,1,1,,,11,8////,,
38,1,5,1,10,0,10,20,1,6,1,1,0,3,1,1,1,,,11,8////,,
61,1,5,1,10,1,11,5,1,9,6,1,8,3,1,3,1,,,10,8////,,g 74653 Künzelsau
61,1,5,1,10,1,11,10,1,12,6,1,8,1,1,1,1,,,10,8////,c-d/f-g,g 74653 Künzelsau
61,1,5,1,10,1,11,50,1,6,6,1,8,11,1,1,2,,,10,8////,,g 74653 Künzelsau
38,1,5,1,10,0,12,0,1,7,6,5,0,3,1,1,1,,,11,8////,,farbig!!!
61,1,5,1,10,1,12,5,1,5,6,1,8,2,2,1,2,,,10,8////,,g 74653 Künzelsau
38,1,5,1,10,0,12,10,1,6,6,5,0,1,1,1,1,,,11,8////,d-e,
61,1,5,1,10,1,12,10,1,1,6,1,8,5,1,1,1,,,10,8////,,g 74653 Künzelsau
92,1,5,1,10,0,12,50,2,0,9,5,2,2,3,3,,,,35,8////,,kA kE
68,1,5,1,10,2,15,10,1,1,2,1,8,3,2,1,1,2,,8,8////,,
15,1,5,1,10,0,15,25,2,1,8,4,8,1,0,3,1,1,,8,8////,d,
15,1,5,1,10,0,16,10,1,2,8,4,8,8,1,3,2,1,,8,802//,,
46,1,5,1,10,2,16,10,1,2,4,1,2,5,1,1,1,0,,8,8////,,kA
38,1,5,1,11,0,10,22,1,0,1,1,0,2,1,1,1,,,11,8////,,"DD:4min, einzelne Cirren im Süden"
38,1,5,1,11,0,10,23,1,1,1,1,0,3,1,1,1,,,11,8////,,"UH DD:5min, einzelne Cirren im Süden"
92,1,5,1,11,0,10,55,2,0,9,5,2,2,1,4,,,5,35,8////,,kA kE
22,1,5,1,11,0,13,40,1,1,3,1,5,3,1,1,2,,,5,8////,,
13,1,5,1,11,0,14,25,1,1,2,1,2,3,1,1,1,,,5,8////,,
13,1,5,1,11,0,15,0,1,2,3,1,2,2,1,1,2,,,5,8////,,
22,1,5,1,11,0,15,5,1,2,5,1,,2,2,1,1,,,5,8////,,
22,1,5,1,11,0,15,5,1,2,5,1,,5,1,4,2,,,5,8////,,
38,1,5,1,12,0,8,10,1,3,2,1,0,8,1,0,1,,,11,805//,,
3,1,5,1,12,0,8,20,,2,,,2,3,1,4,1,,,11,8////,,in Kondensstreifen
51,1,5,1,12,1,8,20,1,2,2,1,0,8,1,0,2,,,11,810//,,München
38,1,5,1,12,0,8,45,1,1,2,1,0,5,1,1,1,,,11,8////,,farbig!!!
38,1,5,1,12,0,10,0,0,1,2,5,0,11,1,1,2,,,11,8////,,
57,1,5,1,12,0,10,5,,24,,,,4,0,1,2,,,2,8////,,
22,1,5,1,12,0,11,50,2,1,3,5,7,1,1,4,1,,,5,8////,c-d-e,
57,1,5,1,12,0,12,0,,12,,,,1,0,1,1,,,2,8////,b-c-d-e-f,
57,1,5,1,12,0,12,0,,9,,,,13,0,0,1,,,2,8////,,Fragment
38,1,5,1,12,0,14,15,1,5,7,5,0,1,1,1,1,2,,11,8////,b-c-d,
38,1,5,1,12,0,14,15,1,5,7,5,0,2,3,1,2,2,,11,8////,,"grell!, Fotos"
38,1,5,1,12,0,14,15,1,3,7,5,0,5,1,1,1,2,,11,8////,,UH
38,1,5,1,12,0,14,25,1,4,7,5,0,11,1,1,1,2,,11,8////,,
13,1,5,1,12,0,15,0,1,1,4,5,2,3,3,1,2,,,5,8////,,
13,1,5,1,12,0,15,15,1,1,4,5,2,11,1,1,2,,,5,8////,,
13,1,5,1,12,0,15,20,1,0,4,5,2,5,2,1,1,,,5,8////,,
3,1,5,1,13,0,9,30,1,2,5,5,2,1,1,4,1,2,1,11,8////,c-d-e,
92,1,5,1,13,0,12,5,1,6,9,7,7,3,2,3,,,,35,8////,,kE UH UB
59,1,5,1,13,0,14,0,1,5,5,1,8,1,2,1,1,2,,1,8////,c-d-e-f,B:01;f=2(Rückseite)
59,1,5,1,13,0,14,15,1,3,5,1,8,3,2,1,2,2,,1,8////,,B:01;f=2(Rückseite)
53,2,5,1,13,0,18,20,,0,,,,9,1,,1,,,17,8//01,,kA
53,1,5,1,14,2,8,40,6,,0,0,2,8,2,3,2,,0,17,807//,,kA/kE/im Schneefall aus Sc
92,1,5,1,14,0,11,40,1,10,9,7,9,2,2,1,,1,,35,8////,,kA kE UH UB
92,1,5,1,14,0,11,40,1,9,9,7,9,3,2,3,,1,,35,8////,,kA kE UH UB
53,1,5,1,16,0,8,20,4,7,0,0,,1,1,1,1,,,17,8////,g-h-a,kA/kE
72,1,5,1,16,0,9,14,4,9,0,0,0,1,1,1,1,,,6,8////,a-b/f-g-h,auf Strasse & Feld
58,1,5,1,16,2,9,15,4,3,0,0,0,1,1,1,1,,,2,8////,,
68,1,5,1,16,0,9,45,4,1,0,0,0,1,1,1,1,,,8,8////,h,
68,1,5,1,16,0,9,45,4,1,0,0,0,12,0,1,1,,,8,8////,g,
13,1,5,1,16,0,13,5,1,20,4,1,0,3,2,1,2,,,5,8////,,"UH 13.15-14, 14.10-14.35, 15.05-15.35"
13,1,5,1,16,0,13,50,1,7,6,1,0,1,1,1,1,,,5,8////,d/f,UH 14.10-14.35
13,1,5,1,16,0,13,50,1,16,6,1,0,2,2,1,2,,,5,8////,,"UH 14.10-14.40, 15-15.30"
13,1,5,1,16,0,14,0,1,1,6,1,0,11,0,1,1,,,5,8////,,
56,1,5,1,16,0,14,0,1,3,4,1,0,1,2,1,1,,,2,8////,b,kE
3,1,5,1,16,2,14,35,1,2,2,1,0,2,1,1,1,,,11,8////,,
53,1,5,1,16,0,14,45,1,5,,5,0,2,1,1,1,,,17,8////,,kA/kE/UB
58,1,5,1,16,0,14,45,1,2,3,1,0,3,1,1,1,,,2,8////,,UH
53,1,5,1,16,0,14,50,1,3,,5,0,10,1,0,2,,,17,80505,,kA/kE
22,1,5,1,16,0,16,0,1,2,6,1,,3,2,1,1,,,5,8////,,
46,1,5,1,16,2,16,10,1,1,1,1,8,3,1,1,1,0,,8,8////,,
15,1,5,1,16,0,16,25,1,2,1,2,0,8,1,3,2,2,,8,801//,,Cc ist eine Flugzeugspur.
32,1,5,1,17,0,8,20,,1,,,,2,2,1,1,,,8,8////,,
68,1,5,1,17,2,8,25,1,0,1,1,8,2,2,0,1,1,,8,8////,,
55,1,5,1,17,2,8,40,1,1,1,5,8,3,1,1,1,,,8,8////,,
29,1,5,1,17,0,10,10,1,1,1,1,8,2,1,1,1,,,8,8////,,
68,1,5,1,17,2,10,45,1,0,1,2,8,2,1,1,1,1,,8,8////,,in Kondensstreifen
38,1,5,1,17,0,13,0,1,3,5,5,0,11,1,1,1,,,11,8////,,kA
38,1,5,1,17,0,13,10,1,1,5,5,0,21,1,1,1,,,11,8////,,d/links
38,1,5,1,17,0,13,20,1,1,5,5,0,3,1,1,1,,,11,8////,,
3,1,5,1,17,0,13,45,1,3,2,1,0,4,3,1,2,,,11,8////,,beobachtet von Norbert Reich
3,1,5,1,17,0,14,15,1,5,2,1,0,3,2,1,1,,,11,8////,,beobachtet von Norbert Reich
44,1,5,1,17,0,16,5,1,1,1,1,0,2,1,1,1,,,11,8////,,
3,2,5,1,17,2,22,40,1,1,1,1,0,2,2,0,1,,,11,8////,,
3,2,5,1,17,2,22,40,1,1,1,1,0,3,1,0,1,,,11,8////,,
