KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
4,1,87,1,1,0,12,39,,0,8,3,9,1,1,4,1,,3,8,8////,b-c-d-e-f,
40,1,87,1,1,0,14,0,,,,,,1,0,,,,,1,8////,,
40,1,87,1,1,0,14,0,,,,,,3,0,,,,,1,8////,,
40,1,87,1,1,0,15,30,,,,,,8,0,,,,,1,806//,,
6,1,87,1,2,0,14,45,,2,5,5,2,5,1,1,1,,,4,8////,,
10,1,87,1,2,0,15,0,,2,2,,,5,2,0,2,,,4,8////,,
33,1,87,1,2,1,15,20,,1,6,5,7,5,0,4,1,,,4,8////,,Golm/Zernsee
40,1,87,1,3,0,10,20,,,,,,1,0,,,,,1,8////,,
40,1,87,1,3,0,10,20,,,,,,5,0,,,,,1,8////,,
30,1,87,1,3,0,14,20,,1,8,3,8,3,2,1,2,,,8,8////,,
11,1,87,1,4,0,,,,,,,,8,,,,,,21,8////,,
40,1,87,1,4,0,10,20,,,,,,1,0,,,,,1,8////,,
40,1,87,1,4,0,10,20,,,,,,5,0,,,,,1,8////,,
6,1,87,1,4,0,11,40,,3,5,1,2,1,0,0,1,1,10,4,8////,b-c-d-e-f,
6,1,87,1,4,0,12,0,,0,5,1,2,3,2,1,2,1,10,4,8////,,
10,1,87,1,4,0,12,0,,2,2,3,0,1,1,0,2,1,6,4,8////,,
10,1,87,1,4,0,12,10,,2,2,3,0,3,2,1,2,1,6,4,8////,,
6,1,87,1,4,0,12,15,,1,5,1,2,1,0,0,1,1,10,4,8////,b-c-d-e-f,
6,1,87,1,4,0,12,15,,1,5,1,2,3,2,1,1,1,10,4,8////,,
33,1,87,1,4,1,12,20,,8,,1,2,1,0,4,1,1,7,4,8////,,Golm
33,1,87,1,4,1,12,40,,3,,1,0,4,3,1,2,1,7,4,8////,,
39,1,87,1,4,1,12,40,,,,,,1,1,0,1,,,4,8////,,Golm
39,1,87,1,4,1,12,40,,,,,,3,2,0,,,,4,8////,,
17,1,87,1,4,1,14,0,,3,5,5,1,2,3,1,2,,22,8,8////,,
17,1,87,1,4,1,14,0,,3,5,5,1,3,2,1,1,,22,8,8////,,
40,1,87,1,4,0,14,35,,,,,,2,2,,,,,1,8////,,
40,1,87,1,4,0,14,35,,,,,,13,2,,,,,1,8////,,
11,1,87,1,6,0,,,,,,,,1,,,,,,21,8////,,
2,1,87,1,7,0,8,20,,3,2,5,3,8,3,0,2,,,8,805//,,
30,1,87,1,7,0,8,45,,0,1,3,8,9,3,4,1,,,8,8//03,,
28,1,87,1,7,1,9,40,,1,1,,5,1,1,1,1,,,8,8////,b,
29,1,87,1,7,0,9,40,,1,2,3,8,2,1,1,1,,,8,8////,,
4,1,87,1,7,1,9,55,,0,6,3,5,2,1,4,1,1,4,8,8////,,
25,1,87,1,7,0,10,27,,1,,3,8,1,1,4,1,,,8,8////,f,kA
25,1,87,1,7,0,10,27,,0,,3,8,3,0,0,1,,,8,8////,,
25,1,87,1,7,0,10,30,,1,,3,8,8,2,3,1,,,8,804//,,kA
40,1,87,1,7,0,12,45,,,,,,3,0,,,,,1,8////,,
11,1,87,1,8,0,,,,,,,,1,,,,,,21,8////,,
6,1,87,1,8,0,10,0,,6,7,3,8,1,0,0,1,1,5,4,8////,b-c-d-e-f,
25,1,87,1,8,0,10,35,,18,8,6,2,1,1,1,1,,,8,8////,a-b-c-d-e-f,
39,1,87,1,8,0,10,45,,9,,,7,1,0,0,1,1,4,4,8////,,
33,1,87,1,8,1,11,25,,9,8,3,0,1,0,4,1,1,6,8,8////,,bei Leipzig
10,1,87,1,8,0,11,50,,3,8,3,0,1,0,0,1,1,3,4,8////,,
7,1,87,1,8,1,12,21,,11,8,7,0,1,1,4,2,1,5,7,8////,,
27,1,87,1,8,1,12,25,,11,3,1,3,1,1,1,1,1,4,8,8////,b-c-d-e,
27,1,87,1,8,1,12,25,,10,3,1,3,5,2,1,1,1,4,8,8////,,
29,1,87,1,8,0,12,25,,1,4,2,2,1,1,1,1,,,8,8////,b-c-d-e-f,
29,1,87,1,8,0,13,10,,2,7,6,8,1,0,1,1,,,8,8////,b-c-d-e-f,
4,1,87,1,8,1,13,20,,6,8,5,5,1,1,4,1,1,0,8,8////,b-c-d-e-f,
30,1,87,1,8,0,13,20,,1,8,3,5,1,0,0,1,,,8,8////,c-d-e,
30,1,87,1,8,0,13,20,,1,8,3,5,3,0,0,2,,,8,8////,,
26,1,87,1,8,0,13,25,,12,8,3,8,1,2,1,1,,,8,8////,a-b-c-d-e-f-g,
7,1,87,1,8,0,13,48,,1,8,7,0,3,0,4,1,1,5,7,8////,,
29,1,87,1,8,0,13,50,,8,8,3,7,1,2,1,1,1,4,8,8////,c-d-e,Cs -> As -> St -> Ns
38,1,87,1,8,0,14,15,,3,8,3,0,1,2,1,1,1,4,8,8////,b-c-d-e-f,
38,1,87,1,8,0,14,15,,3,8,3,0,5,2,1,1,1,4,8,8////,,
2,1,87,1,8,0,14,30,,5,5,5,3,1,2,1,1,1,5,8,8////,c-d-e,
26,1,87,1,8,0,14,30,,5,8,3,8,5,2,1,1,,,8,8////,,
26,1,87,1,8,0,14,30,,5,8,3,8,8,1,0,1,,,8,804//,,
29,1,87,1,8,0,14,30,,2,8,3,7,5,2,1,1,1,4,8,8////,,
28,1,87,1,8,0,14,40,,4,8,3,7,1,2,1,1,,,8,8////,c-d-e,
30,1,87,1,8,1,14,40,,3,8,3,0,1,2,1,1,,,8,8////,c-d-e,
30,1,87,1,8,1,14,40,,3,8,3,0,5,1,1,1,,,8,8////,,
