KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
10,2,93,1,3,0,18,50,,1,0,0,1,1,1,0,1,3,,4,8////,b-c-d-e-f,-15°C
33,1,93,1,4,1,11,0,2,,8,5,0,1,1,4,1,,,6,8////,b-c-d-e-f,Kristel
33,1,93,1,4,1,11,0,2,0,8,5,0,3,,1,1,,,6,8////,,
22,1,93,1,4,0,12,5,2,3,8,5,,3,2,1,2,,,5,8////,,
50,1,93,1,4,0,12,10,1,,8,,,1,0,3,1,,,9,8////,,
50,1,93,1,4,0,12,10,1,,8,,,3,2,1,2,,,9,8////,,
50,1,93,1,4,0,12,10,1,,8,,,5,1,1,,,,9,8////,,
22,1,93,1,4,0,13,25,2,0,8,5,,2,1,0,2,,,5,8////,,
10,2,93,1,4,0,17,5,,2,0,0,0,1,1,0,1,3,,4,8////,b-c-d-e-f,kE
50,1,93,1,5,0,10,40,1,4,8,,,4,2,1,2,,,9,8////,,
33,1,93,1,5,1,12,15,1,,8,5,0,1,0,3,1,,,6,8////,b-c-d-e-f,Kristel
25,1,93,1,5,2,13,20,1,0,6,1,0,2,0,0,1,,,7,8////,,
43,1,93,1,5,2,15,50,1,3,3,1,7,8,1,0,,1,,8,810//,,
29,1,93,1,5,2,15,55,1,1,6,1,0,8,1,0,2,1,15,8,803//,,
29,2,93,1,5,2,17,0,1,31,8,3,0,1,1,0,2,1,14,8,8////,,UH
10,2,93,1,5,0,17,10,2,35,8,3,7,1,1,0,2,1,7,4,8////,,kE
4,2,93,1,5,0,17,20,1,1,7,5,0,1,1,0,1,1,13,8,8////,c-d-e,
38,2,93,1,5,0,17,30,1,33,8,3,0,1,1,0,2,1,8,8,8////,,
44,2,93,1,5,2,17,35,2,1,8,3,0,1,1,0,1,,,8,8////,c-d-e-f,
25,2,93,1,5,2,18,40,2,1,8,3,0,1,0,0,1,,,7,8////,c-d-e-f,kE
2,2,93,1,5,0,20,0,0,,5,3,0,1,1,0,2,1,9,8,8////,,
10,1,93,1,7,0,15,55,2,0,,5,5,8,1,4,1,1,,4,802//,,kE(Wolken)
10,2,93,1,7,0,20,50,2,1,,3,2,1,1,1,1,,,4,8////,,kE
22,1,93,1,8,0,11,30,1,3,7,5,,3,1,0,2,,,5,8////,,
22,1,93,1,8,0,11,50,1,1,7,5,,1,0,0,1,,,5,8////,d-e-f,
4,2,93,1,8,0,18,25,1,0,6,5,7,1,1,0,1,3,,8,8////,b-c-d-e,
44,2,93,1,8,2,22,55,1,0,3,3,0,1,0,0,1,,,8,8////,g-h-a,
9,2,93,1,8,0,23,35,0,5,8,3,0,1,3,1,2,,,8,8////,,meist H1/2
38,2,93,1,8,0,23,35,0,6,8,3,0,1,3,4,2,,,8,8////,,
25,2,93,1,9,0,0,15,1,3,6,3,0,1,1,1,1,3,,8,8////,a-b-c-d-e/g-h,kA;kE
4,1,93,1,9,0,10,10,0,3,2,3,8,3,1,1,2,3,,8,8////,,
9,1,93,1,9,0,10,20,1,1,4,1,8,3,2,1,1,,6,8,8////,,
44,1,93,1,9,2,10,20,1,1,5,3,8,1,0,1,1,,,8,8////,b-c-d-e-f,
44,1,93,1,9,2,10,20,1,1,5,3,8,4,1,1,2,,,8,8////,,
4,1,93,1,9,0,10,35,0,1,3,3,8,2,1,0,2,3,,8,8////,,
28,1,93,1,9,0,10,35,1,1,1,3,0,1,1,1,1,3,,8,8////,c-d-e,
41,1,93,1,9,0,12,0,1,1,6,1,8,1,0,1,1,,,8,8////,b-c-d-e-f,kE
41,1,93,1,9,0,12,5,1,0,6,1,8,2,1,1,2,,,8,8////,,kE
41,1,93,1,9,0,12,5,1,1,6,1,8,3,1,1,2,,,8,8////,,kE
29,1,93,1,9,0,12,15,0,3,6,3,9,1,0,1,1,1,5,8,8////,c-d-e,
29,1,93,1,9,0,12,20,0,2,6,3,9,3,1,1,1,1,5,8,8////,,
2,1,93,1,9,0,12,30,1,4,2,5,2,1,0,1,1,1,5,8,8////,d-e,
9,1,93,1,9,0,13,0,1,,,,,4,,,,,3,8,8////,,
38,1,93,1,9,0,13,20,1,2,6,3,,3,0,1,1,1,8,8,8////,,
29,1,93,1,9,0,13,30,2,1,8,5,7,2,1,1,1,1,4,8,8////,,
38,1,93,1,9,0,13,30,0,2,6,3,,1,0,1,1,1,8,8,8////,c-d-e-f,
4,1,93,1,9,0,13,40,1,1,7,5,9,3,1,0,1,1,,8,8////,,kE
26,1,93,1,9,0,14,0,1,2,1,,0,1,0,1,1,,,8,8////,c-d,kA;kE
29,1,93,1,9,0,14,20,2,1,8,5,7,3,1,4,1,1,3,8,8////,,
10,1,93,1,10,0,10,10,2,1,,5,5,1,1,0,1,,,4,8////,,kE
29,1,93,1,10,0,13,30,2,1,8,3,,1,0,1,1,,9,8,8////,c-d-e,durch As
43,2,93,1,10,0,21,0,2,4,7,3,9,10,1,0,,1,,8,80505,,
29,1,93,1,11,2,11,45,2,5,8,3,8,1,1,1,1,,,8,8////,c-d-e,UH10'
43,1,93,1,11,2,11,45,2,12,8,3,2,1,1,1,1,1,,8,8////,c-d-e,
43,1,93,1,11,2,11,45,2,12,8,3,2,5,1,1,,1,,8,8////,,
38,1,93,1,11,0,12,45,1,0,,3,2,1,0,1,1,,,8,8////,b-c-d-e-f,5'
43,1,93,1,12,2,10,0,2,4,8,3,5,1,1,1,1,2,,8,8////,b-c-d-e-f,
29,1,93,1,12,2,10,50,2,3,7,3,7,1,1,1,1,,,8,8////,c-d-e,kE(St)
38,1,93,1,12,0,11,10,2,0,8,3,2,1,0,1,1,,0,8,8////,d,5';Warmsek
50,1,93,1,12,0,13,5,2,,8,3,4,1,1,1,1,,,9,8////,b-c-d-e-f,kE
25,1,93,1,12,2,13,20,1,11,2,1,8,1,1,1,1,,,7,8////,b/d,
2,1,93,1,12,0,16,0,1,1,3,3,4,2,0,1,2,2,,8,8////,,
25,2,93,1,13,2,0,20,1,,4,3,0,1,0,1,1,,,7,8////,a-b-c,
43,2,93,1,13,0,6,15,1,2,5,3,0,1,1,1,1,,,8,8////,b-c-d-e-f,
6,1,93,1,13,0,8,30,1,20,5,5,0,1,1,1,1,1,6,5,8////,c-d-e,
9,1,93,1,13,0,9,15,1,1,,5,8,3,1,1,1,2,3,8,8////,,
24,1,93,1,13,2,10,25,1,2,6,5,8,2,1,1,1,1,7,8,8////,,
22,1,93,1,13,0,11,0,2,5,3,3,7,1,0,0,1,1,2,5,8////,b-c-d-e-f,
22,1,93,1,13,0,11,0,2,5,3,3,7,5,1,4,,1,2,5,8////,,
26,1,93,1,13,0,11,0,1,1,2,1,5,1,0,1,1,,,8,8////,d,kA;kE
29,1,93,1,13,2,11,5,1,2,7,3,0,1,0,1,1,,,8,8////,c-d-e,
2,1,93,1,13,0,11,30,1,7,3,3,8,1,0,1,1,4,14,8,8////,b-c,
2,1,93,1,13,0,11,30,1,7,3,3,8,2,0,1,1,4,14,8,8////,,
47,1,93,1,13,0,11,40,2,1,7,5,7,1,2,1,1,,6,3,8////,a-b-c-d-e-f-g,kE
28,1,93,1,13,1,12,0,1,2,8,3,0,1,1,1,1,,,10,8////,b-c-d-e,Stuttgart
28,1,93,1,13,1,12,0,1,1,8,3,0,5,2,1,1,,,10,8////,,
28,1,93,1,13,1,12,0,1,1,8,3,0,11,2,1,1,,,10,8////,,
44,1,93,1,13,2,12,20,2,2,8,1,8,1,1,1,1,,,8,8////,b-c-d-e-f,
38,1,93,1,13,0,12,25,1,2,8,3,,1,0,1,1,,5,8,8////,c-d-e-f,
43,1,93,1,14,2,9,50,1,3,6,5,9,1,1,1,1,,,8,8////,b-c-d-e-f,
43,1,93,1,14,2,9,50,1,4,6,5,9,4,1,1,,,,8,8////,,
26,1,93,1,14,0,10,5,1,2,1,1,5,1,1,1,1,,,8,8////,d-e-f,kE
2,1,93,1,14,0,10,10,1,8,3,5,9,1,1,1,1,4,,8,8////,b-c-d-e-f,
2,1,93,1,14,0,10,10,1,8,3,5,9,4,1,1,2,4,,8,8////,,
29,1,93,1,14,2,10,55,2,1,8,6,5,3,1,1,1,,,8,8////,,
38,1,93,1,14,0,10,55,1,2,8,5,8,3,3,1,2,,,8,8////,,
2,1,93,1,14,0,11,25,1,1,3,5,9,3,3,1,2,4,,8,8////,,
9,1,93,1,14,0,11,30,1,0,4,3,9,2,3,1,1,,,8,8////,,
4,1,93,1,14,2,11,35,1,1,8,5,4,11,2,1,1,2,2,8,8////,,
29,1,93,1,14,2,12,5,1,1,6,7,5,3,2,1,1,,,8,8////,,
25,1,93,1,14,2,12,50,1,3,6,1,5,1,1,1,1,,,7,8////,b,
24,2,93,1,15,0,6,40,1,3,6,5,0,1,0,0,2,1,,8,8////,,
6,1,93,1,15,0,9,5,1,15,5,5,8,1,1,4,1,1,4,5,8////,c-d-e,
44,1,93,1,15,0,9,25,1,2,2,1,7,2,2,1,2,,,4,8////,,
29,1,93,1,15,2,9,30,2,27,8,5,7,1,1,1,1,,,8,8////,b-c-d-e-f,UH100'
43,1,93,1,15,2,9,30,1,3,4,5,7,8,1,0,,,,8,807//,,
43,1,93,1,15,2,9,40,1,6,4,5,7,1,1,1,1,,,8,8////,b-c-d-e,
43,1,93,1,15,2,10,10,1,1,3,5,0,2,1,1,,,,8,8////,,
10,1,93,1,15,0,10,50,2,40,8,7,9,1,1,1,1,1,7,4,8////,b-c-d-e-f,UH
25,1,93,1,15,2,11,5,1,9,8,5,0,3,2,1,2,3,,7,8////,,3°Schweif
25,1,93,1,15,2,11,30,1,6,8,5,0,2,1,1,1,3,,7,8////,,
2,1,93,1,15,0,11,40,1,6,3,5,9,1,0,1,1,4,,8,8////,c-d-e,
2,1,93,1,15,0,11,40,1,6,3,5,9,4,1,1,2,4,,8,8////,,
24,1,93,1,15,0,12,0,1,10,7,5,0,2,1,1,2,1,,8,8////,,
25,1,93,1,15,2,12,0,1,9,8,5,0,1,1,1,1,3,,7,8////,b-c-d-e-f,Jena->Chem
24,1,93,1,15,0,12,5,1,1,7,5,0,1,0,0,1,1,,8,8////,b-c-d-e-f,
24,1,93,1,15,0,12,30,1,5,7,5,0,4,1,1,1,1,,8,8////,,
47,1,93,1,15,0,12,30,2,0,7,5,7,1,0,4,1,,3,3,8////,b-c-d-e-f,
43,1,93,1,15,0,12,40,2,8,8,3,9,1,1,1,1,,,8,8////,b-c-d-e-f,
43,1,93,1,15,0,12,40,2,2,8,3,9,2,1,1,,,,8,8////,,
43,1,93,1,15,0,12,40,2,3,8,3,9,3,2,1,2,,,8,8////,,10°Schweif
29,1,93,1,15,2,12,45,2,3,8,3,7,2,1,1,1,,,8,8////,,kA
29,1,93,1,15,2,12,45,2,3,8,3,7,3,1,1,1,,,8,8////,,kA
38,1,93,1,15,0,12,50,1,6,8,5,0,1,0,1,1,,,8,8////,b-c-d-e-f,
33,1,93,1,15,1,12,55,2,3,8,3,8,1,0,4,1,1,,6,8////,b-c-d-e-f,NS nachts
33,1,93,1,15,1,12,55,2,0,8,3,8,2,0,0,1,1,,6,8////,,NS nachts
38,1,93,1,15,0,13,15,1,1,8,5,0,3,1,1,1,,,8,8////,,
9,1,93,1,15,0,13,20,1,1,8,3,7,1,0,4,,,,8,8////,,kE
9,1,93,1,15,0,13,20,1,1,8,3,7,4,1,1,1,,,8,8////,,kE
44,1,93,1,15,0,13,40,2,4,7,4,7,1,0,1,1,,,4,8////,b-c-d-e-f,
44,1,93,1,15,0,13,40,2,4,7,4,7,2,1,0,2,,,4,8////,,
38,1,93,1,15,0,14,5,1,1,8,5,0,2,0,1,1,,,8,8////,,
26,1,93,1,16,0,10,55,0,24,8,5,0,1,1,1,1,,,8,8////,b-c-d-e-f,
26,1,93,1,16,0,11,50,1,3,8,5,0,2,0,1,1,,,8,8////,,kE
28,1,93,1,16,1,12,15,1,0,8,3,0,3,1,1,1,,,10,8////,,Stuttgart
6,2,93,1,17,0,4,45,2,7,7,5,0,1,2,0,1,1,15,5,8////,b-c-d-e-f,
38,1,93,1,17,0,9,48,1,1,8,5,0,3,0,1,1,,,8,8////,,
25,1,93,1,17,2,13,10,1,2,6,5,5,1,1,1,1,,,7,8////,c-d-e,kE
6,1,93,1,17,0,14,15,1,15,4,1,2,1,1,4,1,1,5,5,8////,c-d-e,
22,1,93,1,17,0,14,15,1,0,7,6,,1,1,0,1,2,4,5,8////,d-e-f,
10,1,93,1,17,0,14,30,1,2,7,7,0,3,2,1,2,1,,4,8////,,
48,1,93,1,17,1,14,40,0,1,2,1,0,3,1,3,2,,,4,8////,,Schildow
6,1,93,1,18,0,9,40,1,13,7,1,8,1,1,0,1,,,5,8////,c-d-e,
48,1,93,1,18,2,10,20,1,1,4,1,2,1,1,1,1,,,4,8////,c-d-e,
22,1,93,1,18,0,12,5,1,2,7,5,5,1,0,0,1,,,5,8////,b-c-d-e-f,
22,1,93,1,18,0,12,5,1,2,7,5,5,5,1,4,,,,5,8////,,
50,1,93,1,18,0,12,5,1,8,7,3,2,1,1,1,1,,,9,8////,b-c-d-e-f,U
50,1,93,1,18,0,13,0,1,2,7,3,2,4,2,1,2,,,9,8////,,
50,1,93,1,18,0,13,0,1,0,7,3,2,11,1,5,1,,,9,8////,,
22,1,93,1,18,0,13,10,1,2,2,5,,2,2,1,2,,,5,8////,,
41,1,93,1,18,0,15,20,1,0,,1,5,1,0,1,1,,,8,8////,d,kE
41,1,93,1,18,0,15,20,1,0,,1,8,2,2,1,2,,,8,8////,,kE
2,1,93,1,18,0,15,30,2,5,3,5,9,1,1,1,1,4,,8,8////,c-d-e,
43,1,93,1,18,2,15,30,1,2,3,3,5,2,1,1,,2,,8,8////,,
29,1,93,1,18,0,15,35,1,4,6,3,4,1,1,1,1,,,8,8////,c-d-e,n.Abzug Ns
43,1,93,1,18,2,15,40,1,2,3,3,5,8,1,0,,2,,8,815//,,
29,1,93,1,19,2,9,5,1,1,5,3,7,1,0,1,1,,,8,8////,c-d-e,
10,1,93,1,21,0,11,40,1,3,8,7,5,3,2,1,2,,,4,8////,,
10,1,93,1,21,0,11,55,1,2,8,7,5,1,2,1,1,,,4,8////,b-c,
10,1,93,1,21,0,11,55,1,1,8,7,5,2,2,1,1,,,4,8////,,
6,1,93,1,21,0,13,20,1,1,5,1,5,2,1,1,1,1,10,5,8////,,
29,1,93,1,21,2,13,30,1,1,8,3,5,2,1,1,1,,,8,8////,,
2,1,93,1,21,0,16,0,2,3,2,5,9,3,1,1,2,4,,8,8////,,
25,1,93,1,22,0,13,10,2,11,8,5,5,1,1,1,1,,,8,8////,b-c-d-e-f,
24,1,93,1,23,0,11,30,1,3,7,3,5,1,1,1,,1,10,8,8////,,
4,1,93,1,23,0,12,0,2,1,8,5,3,1,0,4,1,1,,8,8////,b-c-d-e-f,
29,1,93,1,23,1,12,0,1,16,8,3,5,1,2,1,1,1,,8,8////,b-c-d-e-f,Chem;UH70'
41,1,93,1,23,0,12,10,0,0,3,1,5,3,2,1,2,,,8,8////,,
9,1,93,1,23,0,13,0,1,9,8,3,5,1,1,1,,1,9,8,8////,,ohne UH!
38,1,93,1,23,0,13,10,2,3,8,3,2,1,0,1,1,,9,8,8////,b-c-d-e-f,
6,1,93,1,23,0,14,50,2,16,7,3,8,1,1,4,1,1,5,5,8////,c-d-e,
29,1,93,1,23,2,16,10,2,1,8,3,0,8,1,0,1,1,6,8,803//,,
43,1,93,1,24,0,13,30,1,10,6,3,2,1,1,1,1,,,8,8////,b-c-d-e-f,
43,1,93,1,24,0,13,30,1,8,6,3,2,4,1,1,,,,8,8////,,
43,1,93,1,24,0,13,30,1,10,6,3,2,5,1,1,,,,8,8////,,
43,1,93,1,24,0,13,30,1,8,6,3,2,11,1,1,,,,8,8////,,
29,1,93,1,24,0,14,30,2,1,6,1,5,1,1,4,1,,,8,8////,c-d-e,
25,1,93,1,25,2,12,40,1,4,8,5,5,1,1,1,1,,,7,8////,c-d-e-f,
22,1,93,1,26,0,11,5,2,8,8,3,,1,1,0,2,2,5,5,8////,,
22,1,93,1,26,0,11,5,2,8,8,3,,5,1,4,,2,5,5,8////,,
50,1,93,1,27,0,12,5,1,,6,3,,3,1,1,2,,,9,8////,,kE
43,2,93,1,27,0,19,40,,2,0,0,5,10,1,0,,2,,8,80505,,Schneehalo
25,1,93,1,28,2,12,50,2,2,8,3,7,1,0,0,1,,2,7,8////,c-d-e,
43,1,93,2,2,2,8,5,1,2,1,1,0,8,2,0,,,,8,805//,,
44,1,93,2,2,2,13,50,1,2,3,2,0,1,0,0,1,,,8,8////,c-d-e-f,
38,1,93,2,2,0,13,55,1,2,8,5,0,1,0,1,1,,,8,8////,c-d-e,
43,1,93,2,2,2,14,0,1,2,3,1,0,3,1,1,,,,8,8////,,
41,1,93,2,2,0,15,10,0,0,4,1,0,1,1,1,1,,,8,8////,d,kE
43,1,93,2,2,2,15,30,1,2,4,1,0,8,1,0,,,,8,805//,,
38,1,93,2,2,0,15,45,1,1,8,5,0,2,0,1,1,,,8,8////,,
41,1,93,2,4,0,16,35,0,0,3,1,0,8,1,1,1,,,8,803//,,
17,2,93,2,5,0,0,5,1,3,8,1,0,1,1,0,2,,,7,8////,,kE
2,2,93,2,5,0,2,0,1,,3,1,0,1,0,0,1,3,,8,8////,a-b-c-d,
17,1,93,2,5,0,7,0,1,3,8,5,0,8,1,0,,,,7,807//,,
17,1,93,2,5,0,7,20,1,1,8,5,0,9,1,0,,,,7,8//05,,
9,1,93,2,5,0,7,55,1,1,2,1,0,8,1,0,1,,,8,810//,,
24,1,93,2,5,0,8,15,2,8,6,1,0,4,1,1,1,2,22,8,8////,,
43,1,93,2,5,2,8,15,1,1,6,5,0,8,1,0,,,,8,805//,,
43,1,93,2,5,2,8,30,1,6,6,5,0,1,1,1,1,,,8,8////,c-d-e,
