KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
3,2,12,1,1,2,17,50,1,22,6,3,2,1,2,0,1,,,11,8////,,UH Sektoren wechselnd
59,2,12,1,1,0,19,10,0,2,5,1,8,1,1,0,1,1,2,1,8////,d,B:02
76,2,12,1,1,0,19,50,1,6,4,1,,1,1,0,2,1,,10,8////,,"kA kE,"
74,2,12,1,2,0,18,0,0,2,7,3,2,1,1,0,2,,,2,8////,,"kA kE, recht auffällig, aber nicht hell"
44,2,12,1,2,1,19,30,2,17,8,3,7,1,1,0,2,,3,4,8////,,Ketzür
64,2,12,1,2,0,19,30,1,6,6,3,7,1,1,0,2,2,4,7,8////,,
69,2,12,1,2,0,20,15,0,3,,,0,1,1,0,2,,,6,8////,,kA
31,2,12,1,2,0,20,30,1,9,9,5,1,1,1,0,2,,,8,8////,,
93,2,12,1,2,0,20,45,1,6,8,3,2,1,0,0,2,1,4,35,8////,,First part caused by thinner high cloud.
31,2,12,1,2,0,21,0,1,4,9,5,1,7,1,1,1,,,8,8////,,
6,2,12,1,2,0,21,15,1,18,5,5,0,1,2,,2,,,4,8////,,
6,2,12,1,2,0,21,27,1,16,5,5,0,5,2,,1,,,4,8////,,
6,2,12,1,2,0,21,27,1,5,5,5,0,6,2,,1,,,4,8////,,
75,2,12,1,2,0,21,30,1,1,8,3,,1,1,1,2,,,4,8////,,
46,2,12,1,2,2,21,40,1,6,6,1,2,1,1,0,1,,,8,8////,b-c-d-e-f-g,kA
46,2,12,1,2,2,21,45,1,2,6,1,2,7,1,0,1,,,8,8////,c-d-e,kA
93,2,12,1,2,0,21,45,2,6,8,3,2,1,0,0,2,1,3,35,8////,,"Second stage, thicker cloud. UH UB. kE."
13,1,12,1,3,0,8,15,0,2,1,1,8,8,1,0,2,1,1,5,805//,,
46,1,12,1,3,2,11,30,1,2,6,1,5,2,1,1,1,,,8,8////,,kA
46,1,12,1,3,2,11,30,1,2,6,1,5,11,1,1,1,,,8,8////,,kA
75,1,12,1,3,2,12,10,1,1,5,3,5,5,0,1,1,1,2,4,8////,,
75,1,12,1,3,2,12,10,1,1,5,3,5,11,0,1,1,1,2,4,8////,,
72,1,12,1,3,0,12,42,1,1,,1,2,2,1,1,1,2,7,10,8////,,"kA, viele tiefe Wolken"
6,1,12,1,3,0,12,43,1,3,5,5,0,1,0,1,1,,,4,8////,d,
3,2,12,1,3,0,20,45,1,3,6,5,0,1,1,0,2,,,11,8////,,
95,1,12,1,4,0,10,35,1,3,6,3,8,1,2,3,1,1,12,24,8////,a-b-c-d-e-f,
15,1,12,1,4,0,10,40,,2,9,,8,1,0,1,1,2,2,8,8////,c-d-e,
59,1,12,1,4,0,11,0,2,0,2,1,6,2,3,1,2,5,,1,8////,,B:03;Zeit:1058-1059 MEZ
93,1,12,1,4,0,11,30,2,1,8,3,2,1,0,1,1,1,3,35,8////,b-c-d-e-f,
59,2,12,1,4,0,17,50,2,14,7,3,2,1,1,0,2,1,6,1,8////,,B:19;UH
61,2,12,1,4,0,18,35,1,14,7,1,2,1,1,0,2,1,,10,8////,,
3,2,12,1,4,0,23,30,2,9,8,3,0,1,1,0,2,,,11,8////,,kE
53,1,12,1,5,0,14,20,5,,0,0,2,12,1,1,1,,,17,8////,g-h-a,kA/kE
3,2,12,1,5,0,17,40,1,3,6,3,6,1,1,0,2,2,4,11,8////,,
95,1,12,1,6,0,9,20,1,21,7,3,0,1,2,3,1,,,24,8////,b-c-d-e-f,
95,2,12,1,6,0,16,50,1,14,8,3,0,1,2,0,2,,,24,8////,,
6,2,12,1,6,0,20,21,1,0,1,1,0,1,3,,1,,,4,8////,e,Kondensstreifen
59,2,12,1,6,0,23,25,0,3,6,3,8,1,0,0,2,8,,1,8////,,B:19
15,1,12,1,7,1,7,35,,2,,,8,8,1,4,2,1,2,11,808//,,
75,1,12,1,7,1,8,0,7,0,0,0,8,8,1,4,2,,,11,803//,,Sudelfeld
76,1,12,1,7,1,8,0,7,0,0,0,8,8,1,4,2,,,11,803//,,
93,2,12,1,8,0,20,0,1,1,7,1,2,1,1,0,1,1,,35,8////,b-c-d-e-f,
6,2,12,1,10,0,23,24,1,1,4,1,8,1,2,,1,,,4,8////,c-d-e,
59,2,12,1,11,0,3,20,0,1,7,3,2,1,2,0,1,1,5,1,8////,b-c-d-e-f-g,B:03;Ende:durch Sc verdeckt.
38,1,12,1,12,1,9,20,6,1,0,0,5,3,1,1,2,,,11,8////,,"Sudelfeld, kA kE, Foto"
38,1,12,1,12,1,9,20,6,1,0,0,5,5,1,1,2,,,11,8////,,"Sudelfeld, kA kE, Foto"
38,1,12,1,12,1,9,20,6,1,0,0,5,8,1,0,2,,,11,803//,,"Sudelfeld, kA kE, Foto"
