KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
51,1,8,1,1,2,10,0,6,24,0,0,0,44,0,0,2,,,11,8////,,in leuchtenden Eiskristallen
51,1,8,1,1,2,11,10,6,2,0,0,0,8,2,0,2,,,11,805//,,
3,1,8,1,2,2,8,5,7,2,0,0,2,8,2,4,1,,,11,803//,,
46,1,8,1,2,2,8,25,1,2,2,1,2,8,1,0,1,,,8,810//,,kA
53,1,8,1,3,0,9,30,1,39,,,,2,1,1,1,,,17,8////,,kA/kE/UB/UB von 10:35 bis 16:00!
3,1,8,1,3,2,9,45,1,36,5,5,8,4,2,4,1,,,11,8////,,UB
38,1,8,1,3,0,9,50,1,2,6,5,8,3,1,1,1,3,99,11,8////,,
61,1,8,1,3,2,9,50,1,2,4,1,2,1,0,0,1,,,10,8////,c-d-e,g 74653 Künzelsau
62,1,8,1,3,1,10,10,1,1,,1,0,3,1,0,1,,,9,8////,,kE Mainz
62,1,8,1,3,1,10,15,1,13,,1,0,1,1,0,1,,,6,8////,b-c-d-e-f,kE UH Limburg-Montabaur
62,1,8,1,3,1,10,15,1,13,,1,0,4,2,1,1,,,6,8////,,kE UH Limburg-Montabaur
15,1,8,1,3,2,10,20,1,9,8,5,0,1,1,1,1,2,99,11,8////,b-c-d-e-f,
15,1,8,1,3,2,10,20,1,9,8,5,0,4,1,1,2,2,99,11,8////,,
15,1,8,1,3,2,10,20,1,2,8,5,0,5,1,1,1,2,99,11,8////,,
64,1,8,1,3,2,10,20,1,7,3,1,5,4,1,0,1,3,,7,8////,,* Ernstthal
53,1,8,1,3,0,10,30,4,1,0,0,,12,1,1,1,,99,17,8////,h,kA/kE/Reif auf Schneedecke?
69,1,8,1,3,0,10,30,1,8,7,5,0,1,1,1,1,,,6,8////,d-e-f-g,UH
69,1,8,1,3,0,10,30,1,3,7,5,0,2,1,1,1,,,6,8////,,
69,1,8,1,3,0,10,30,1,2,7,5,0,3,1,1,1,,,6,8////,,
64,1,8,1,3,2,11,15,1,3,3,1,5,11,2,1,2,3,,7,8////,,* Ersntthal
64,1,8,1,3,2,11,15,1,3,3,1,5,21,1,1,2,3,,7,8////,,* Ernstthal
73,1,8,1,3,0,11,25,1,1,5,1,0,3,1,1,1,1,,7,8////,,kA
73,1,8,1,3,0,11,25,1,1,5,1,0,5,1,1,1,1,,7,8////,,kA
64,1,8,1,3,2,11,30,1,2,3,1,5,5,2,1,1,3,,7,8////,,* Ernstthal
64,1,8,1,3,2,11,30,1,2,3,1,5,18,2,0,2,3,,7,8////,,* Ernstthal
4,1,8,1,3,2,11,35,1,0,4,1,2,2,1,1,2,3,99,8,8////,,UB
4,1,8,1,3,2,11,40,1,0,4,1,2,3,0,4,1,3,99,8,8////,,UB
61,1,8,1,3,2,11,40,1,21,6,1,2,1,1,1,1,,,10,8////,b-c-d-e-f,g 74564 Crailsheim
4,1,8,1,3,2,12,0,1,1,4,1,2,1,1,4,1,3,99,8,8////,c-d-e,
4,1,8,1,3,2,12,0,1,2,4,1,2,2,1,1,2,3,99,8,8////,,
13,1,8,1,3,0,12,0,1,3,4,3,8,11,1,1,2,2,8,5,8////,,
61,1,8,1,3,2,12,5,1,8,6,1,2,2,1,1,1,,,10,8////,,g 74564 Crailsheim
4,1,8,1,3,2,12,10,1,1,4,1,2,3,1,4,1,3,99,8,8////,,
61,1,8,1,3,2,12,25,1,3,6,1,2,3,1,1,1,,,10,8////,,g 74564 Crailsheim
64,1,8,1,3,2,12,30,1,3,4,1,5,11,1,1,2,3,,7,8////,,
15,1,8,1,3,2,12,40,1,18,8,5,8,1,1,1,1,2,99,11,8////,b-c-d-e-f,
