KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
53,1,25,1,1,0,9,30,4,1,0,0,,1,0,1,1,,99,17,8////,h,kA/kE
53,1,25,1,1,0,11,30,1,1,,,,3,0,1,1,,,17,8////,,kA/kE
61,1,25,1,1,0,11,30,1,6,7,1,2,3,1,3,1,1,99,7,8////,,
4,1,25,1,1,0,12,0,2,0,8,3,2,3,1,0,1,1,,8,8////,,Regen in der Folgenacht
53,1,25,1,2,0,9,0,2,1,,,,2,0,1,1,,,17,8////,,kA/kE
72,1,25,1,4,0,8,44,1,1,6,1,0,3,2,0,1,,21,10,8////,,in Kondensstreifen
72,1,25,1,4,0,8,50,4,2,0,0,0,1,2,1,1,,21,10,8////,f-g-h-a-b,-
4,1,25,1,4,0,9,10,1,0,8,3,3,5,1,4,2,0,99,8,8////,,
61,1,25,1,4,0,9,15,1,27,7,1,2,1,1,3,1,,99,7,8////,b-c-d-e-f,"UH,"
46,1,25,1,4,0,9,30,1,12,7,5,0,1,1,1,1,,99,8,8////,b-c-d-e-f,kA
55,1,25,1,4,0,9,50,2,3,8,5,0,1,1,1,1,,,8,8////,b-c-d-e-f,
62,1,25,1,4,0,9,50,1,1,1,1,1,1,1,1,1,,,10,8////,b-c-d-e-f,kA kE
72,1,25,1,4,0,10,0,1,2,7,1,0,1,0,0,1,,20,10,8////,a-b-c-d,-
72,1,25,1,4,0,10,0,1,2,7,1,0,4,1,1,1,,20,10,8////,,-
61,1,25,1,4,0,10,10,1,9,7,1,2,2,1,3,2,,99,7,8////,,"UH,"
72,1,25,1,4,0,10,18,1,2,7,1,0,3,2,1,1,,20,10,8////,,in Kondensstreifen
4,1,25,1,4,0,11,5,1,14,8,3,3,1,1,4,1,0,99,8,8////,b-c-d-e-f,
4,1,25,1,4,0,11,5,1,0,8,3,3,3,0,4,1,0,99,8,8////,,
62,1,25,1,4,0,12,0,1,0,8,5,0,11,0,,,,,10,8////,,kA kE
93,1,25,1,4,0,12,10,2,3,8,3,1,1,0,0,1,1,,35,8////,c-d-e,
93,1,25,1,4,0,12,50,2,6,8,3,7,1,2,4,1,1,,35,8////,c-d-e,"Much of brightness however, associated with EE05."
93,1,25,1,4,0,12,50,2,6,8,3,7,5,2,4,2,1,,35,8////,,
82,1,25,1,4,0,14,0,2,6,7,3,7,1,1,1,1,,,4,8////,c-d-e,
6,1,25,1,6,0,9,31,2,3,7,3,7,1,1,1,1,,,4,8////,c-d-e,
53,1,25,1,6,0,11,40,1,1,,,,1,0,1,1,,,17,8////,d-e,kA/kE
93,1,25,1,6,0,13,50,2,0,9,1,2,2,2,1,2,3,1,35,8////,,"Vertical sundog, sometimes split."
46,1,25,1,6,2,14,15,1,2,7,1,8,2,1,1,1,,99,8,8////,,kA
93,1,25,1,6,0,14,25,2,0,9,1,2,3,3,1,2,3,1,35,8////,,Limited view due to obscuration by low cloud.
6,2,25,1,6,0,18,52,2,2,5,3,7,1,1,3,1,,,4,8////,c-d-e,
6,2,25,1,6,0,22,18,2,5,4,3,0,4,1,3,1,,,4,8////,,
4,1,25,1,7,0,11,10,2,0,2,1,2,2,0,1,1,1,4,8,8////,,
89,1,25,1,7,2,17,15,1,3,5,1,0,1,2,1,1,,,30,8////,b-c-d-e,"Puerto Tazakorte, La Palma"
89,1,25,1,7,2,17,15,1,3,5,1,0,4,2,1,2,,,30,8////,,"Puerto Tazakorte, La Palma"
13,1,25,1,8,0,12,0,1,1,3,3,7,3,1,1,2,,,5,8////,,
13,1,25,1,8,0,12,25,1,3,4,3,7,1,1,1,1,,,5,8////,,
13,1,25,1,8,0,12,50,1,11,5,3,7,11,1,1,2,,,5,8////,,
51,1,25,1,8,0,14,15,2,1,8,3,7,5,1,1,1,,,8,8////,,
51,1,25,1,8,0,14,15,2,1,8,3,7,11,1,1,1,,,8,8////,,
82,2,25,1,8,1,18,10,1,1,8,3,0,1,1,0,2,,,8,8////,,Linz (bei Ortrand)
31,2,25,1,8,0,20,0,1,9,8,5,,1,2,0,2,,2,8,8////,,kA kE
93,2,25,1,8,0,20,0,2,6,8,3,8,1,0,0,1,3,,35,8////,b-c-d-e-f,UH UB
55,2,25,1,8,0,20,50,2,1,8,5,0,1,1,0,2,,,8,8////,,kA kE
82,2,25,1,8,0,21,0,1,2,7,3,0,1,1,0,2,,,4,8////,,
6,2,25,1,8,0,21,52,2,15,7,3,0,1,2,3,2,,,4,8////,,
38,1,25,1,11,1,10,0,1,1,1,1,0,3,1,1,1,,,37,8////,,MEZ Über Brasilien
38,1,25,1,11,1,10,0,1,1,1,1,0,44,3,0,2,,,37,8////,,MEZ Über Brasilien
51,1,25,1,11,1,10,0,1,1,1,1,0,3,1,1,1,,,37,8////,,MEZ Über Brasilien
51,1,25,1,11,1,10,0,1,1,1,1,0,44,3,0,2,,,37,8////,,MEZ Über Brasilien
93,1,25,1,11,0,13,30,2,0,1,1,8,11,2,1,2,3,,35,8////,,Appeared in old aircraft contrail.
93,1,25,1,12,0,15,30,1,0,2,1,1,3,1,1,2,8,,35,8////,,
93,1,25,1,12,0,15,30,1,0,2,1,1,11,1,1,1,8,,35,8////,,Mid to right half only.
4,1,25,1,13,0,10,30,5,9,0,0,0,12,1,1,1,0,99,8,8////,g-h-a,"kA, kE"
77,1,25,1,13,1,13,10,6,12,0,0,1,1,2,1,2,,,16,8////,,"*, Neklid"
77,1,25,1,13,1,13,10,6,12,0,0,1,2,2,1,2,,,16,8////,,"*, Neklid"
77,1,25,1,13,1,13,10,6,12,0,0,1,3,2,1,2,,,16,8////,,"*, Neklid"
77,1,25,1,13,1,13,10,6,12,0,0,1,5,2,1,2,,,16,8////,,"*, Neklid"
77,1,25,1,13,1,13,10,6,12,0,0,1,6,2,1,1,,,16,8////,,"*, Neklid"
77,1,25,1,13,1,13,10,6,12,0,0,1,8,2,0,2,,,16,822//,,"*, Neklid"
77,1,25,1,13,1,13,10,6,17,0,0,1,9,2,0,2,,,16,8//22,,"*, Neklid"
77,1,25,1,13,1,13,10,6,4,0,0,1,11,2,1,1,,,16,8////,,"*, Neklid"
77,1,25,1,13,1,13,10,6,10,0,0,1,13,2,0,2,,,16,8////,,"*, Neklid"
77,1,25,1,13,1,13,10,6,12,0,0,1,21,2,1,1,,,16,8////,,"*, Neklid, A/B"
77,1,25,1,13,1,13,10,6,12,0,0,1,22,2,1,1,,,16,8////,,"*, Neklid, A/B"
77,1,25,1,13,1,13,10,6,12,0,0,1,27,2,1,2,,,16,8////,,"*, Neklid, A/C"
77,1,25,1,13,1,13,10,6,4,0,0,1,57,1,0,1,,,16,8////,,"*, Neklid"
77,1,25,1,13,1,13,10,6,11,0,0,1,60,1,1,1,,,16,8////,,"*, Neklid, A/C"
77,1,25,1,13,1,13,10,6,12,0,0,1,61,1,0,2,,,16,8////,,"*, Neklid"
77,1,25,1,13,1,13,10,6,12,0,0,1,77,1,0,1,,,16,8////,,"*, Neklid"
77,1,25,1,13,1,13,25,6,2,0,0,1,63,1,0,1,,,16,8////,,"*, Neklid"
77,1,25,1,13,1,13,30,6,0,0,0,1,18,1,0,1,,,16,8////,,"*, Neklid"
77,1,25,1,13,1,13,35,6,0,0,0,1,19,1,0,1,,,16,8////,,"*, Neklid"
77,1,25,1,13,1,14,40,6,3,0,0,1,12,1,1,1,,,16,8////,a-d-g,"*, Neklid"
82,1,25,1,13,2,14,40,1,1,4,5,8,3,1,1,1,,,8,8////,,
77,1,25,1,13,1,14,50,6,2,0,0,1,62,1,0,1,,,16,8////,,"*, Neklid"
31,1,25,1,13,0,15,0,0,4,9,3,1,2,2,4,1,,,8,8////,,
77,1,25,1,13,1,15,0,6,2,0,0,1,44,2,0,2,,,16,8////,,"*, Neklid"
46,1,25,1,13,2,15,15,1,1,5,5,8,2,1,1,1,,99,8,8////,,kA
31,1,25,1,13,0,15,30,0,1,9,3,1,3,2,5,1,,,8,8////,,
61,1,25,1,13,0,15,45,1,3,3,1,2,3,2,3,2,1,99,7,8////,,
56,1,25,1,13,0,16,15,1,3,1,1,0,2,2,1,1,1,99,2,8////,,
53,5,25,1,13,0,18,0,5,75,0,0,,12,0,1,1,,99,17,8////,a-h-g,"kA/kE/UB/Lampe, Minnaertquerschnitt am Boden, ganze Nacht"
6,2,25,1,14,0,0,42,1,1,3,1,8,1,1,3,1,,,4,8////,c-d-e,
82,1,25,1,14,0,7,45,7,1,0,0,8,8,2,4,2,,,4,808//,,bis Ruhland
13,1,25,1,14,0,8,15,1,1,2,3,5,8,1,4,1,,,5,805//,,
53,1,25,1,14,0,16,15,7,1,0,0,,8,1,4,1,,,17,810//,,kA/kE/Fallstreifen an Ac
53,1,25,1,14,0,16,30,1,1,,,,3,1,1,1,,,17,8////,,kA/kE
53,5,25,1,15,0,6,40,7,1,0,0,,8,1,3,2,,0,17,820//,,"kA/kE/Schneefall, Lampe"
53,2,25,1,15,0,6,45,7,1,0,0,,10,1,3,1,,0,17,80101,,kA/kE/Schneefall
53,1,25,1,15,0,10,25,7,1,0,0,,5,1,1,1,,0,17,8////,,kA
93,1,25,1,15,0,14,0,1,0,2,1,0,2,0,1,2,,,35,8////,,
93,1,25,1,15,0,15,45,1,0,1,1,0,2,0,1,1,,,35,8////,,Split into two parts.
4,1,25,1,17,0,8,20,4,12,0,0,1,1,1,1,1,0,99,8,8////,g-h-a,"kA, kE"
82,1,25,1,17,1,15,30,7,1,0,0,8,8,1,3,1,,,8,810//,,Keulenberg bei Königsbrück
4,1,25,1,18,0,8,40,4,8,0,0,0,1,1,1,1,0,99,8,8////,g-h-a,"kA, kE"
38,1,25,1,18,1,19,30,1,1,6,5,0,1,1,4,1,,,39,8////,,MEZ-4 Atlantik vor Südgeorgien
38,1,25,1,18,1,19,30,1,1,6,5,0,3,1,1,1,,,39,8////,,MEZ-4 Atlantik vor Südgeorgien
38,1,25,1,18,1,19,30,1,1,6,5,0,5,1,4,1,,,39,8////,,MEZ-4 Atlantik vor Südgeorgien
51,1,25,1,18,1,19,30,1,1,6,5,0,1,1,4,1,,,39,8////,,MEZ-4 Atlantik vor Südgeorgien
51,1,25,1,18,1,19,30,1,1,6,5,0,3,1,1,1,,,39,8////,,MEZ-4 Atlantik vor Südgeorgien
51,1,25,1,18,1,19,30,1,1,6,5,0,5,1,4,1,,,39,8////,,MEZ-4 Atlantik vor Südgeorgien
38,1,25,1,18,1,19,35,1,1,6,5,0,2,2,1,2,,,39,8////,,MEZ-4 Atlantik vor Südgeorgien
51,1,25,1,18,1,19,35,1,1,6,5,0,2,2,1,2,,,39,8////,,MEZ-4 Atlantik vor Südgeorgien
53,1,25,1,19,0,8,20,4,10,0,0,,1,0,1,1,,99,17,8////,h,kA/kE/UB/Reif auf Schnee
4,1,25,1,19,1,9,0,4,4,0,0,0,1,1,1,1,0,99,8,8////,g-h-a,"D-08118 Hartenstein, kA, kE"
53,1,25,1,19,0,10,0,4,1,0,0,,12,0,1,1,,99,17,8////,h,kA/kE/Reif auf Schnee
53,1,25,1,20,0,8,40,1,1,,,,3,1,1,1,,,17,8////,,kA/kE
46,1,25,1,20,2,9,10,1,2,7,1,0,3,1,1,1,,99,8,8////,,kA
61,1,25,1,20,2,9,25,1,13,7,1,8,1,0,3,1,,,7,8////,b-c-d-e-f,
61,1,25,1,20,2,10,10,1,11,7,1,8,3,1,3,1,,,7,8////,,
6,1,25,1,20,0,12,43,2,11,5,5,0,4,2,1,1,,,4,8////,,
31,1,25,1,21,0,9,30,1,15,9,5,1,1,1,0,2,,,8,8////,,kA kE
31,1,25,1,21,0,9,30,1,15,9,5,1,4,1,0,1,,,8,8////,,kA kE
4,1,25,1,21,0,10,30,1,4,7,3,0,1,1,4,1,0,99,8,8////,b/f,
82,1,25,1,21,2,12,30,2,2,7,3,0,1,0,0,1,,,8,8////,b-c-d-e-f,"kA, kE"
4,1,25,1,21,0,13,0,2,4,6,3,0,1,1,4,1,0,99,8,8////,b-c-d-e-f,
55,1,25,1,21,1,15,0,2,5,8,5,0,1,1,1,1,,,8,8////,b-c-d-e-f,UH A4 Dresden-Chemnitz
55,1,25,1,21,1,15,0,2,2,8,5,0,5,1,1,1,,,8,8////,,A4 Dresden-Chemnitz
55,1,25,1,21,1,15,20,2,1,8,5,9,3,1,1,1,,,8,8////,,A4 Dresden-Chemnitz
55,1,25,1,21,1,15,35,2,1,8,5,9,2,1,1,1,,,8,8////,,A4 Dresden-Chemnitz
55,1,25,1,21,1,15,35,2,1,8,5,9,22,1,1,1,,,8,8////,,A4 Dresden-Chemnitz
31,1,25,1,22,0,9,0,1,6,4,1,1,1,0,1,2,,,8,8////,,kA kE
31,1,25,1,22,0,9,0,1,6,4,1,1,4,1,1,1,,,8,8////,,kA kE
46,1,25,1,22,2,9,0,1,2,7,5,0,3,1,1,1,,99,8,8////,,kA
53,1,25,1,22,0,9,0,4,3,0,0,,1,1,1,1,,99,17,8////,h,kA/kE/Reif auf Schnee
53,1,25,1,22,0,9,0,4,3,0,0,,12,0,1,1,,99,17,8////,h,kA/kE/Reif auf Schnee
4,1,25,1,22,0,9,8,4,2,0,0,0,1,1,1,1,0,99,8,8////,g-h-a,"kA, kE"
4,1,25,1,22,0,11,25,1,6,7,5,0,1,0,1,1,0,99,8,8////,b-c-d-e-f,
4,1,25,1,22,0,11,25,1,1,7,5,0,5,1,4,2,0,99,8,8////,,
46,1,25,1,22,2,11,30,1,3,7,5,0,1,1,1,1,,99,8,8////,d-e,kA
4,1,25,1,22,0,11,40,2,0,7,5,0,3,1,1,2,0,99,8,8////,,
84,1,25,1,22,2,11,43,2,1,6,2,,2,1,1,,,99,2,8////,,
84,1,25,1,22,2,11,45,2,1,6,2,2,3,3,1,,,,2,8////,,
4,1,25,1,22,0,11,55,2,0,7,5,0,3,0,1,1,0,99,8,8////,,
56,1,25,1,22,0,12,30,2,7,9,3,7,1,1,1,1,,9,2,8////,b-c-d-e-f,
6,1,25,1,22,0,12,54,2,7,4,5,0,4,2,1,1,,,4,8////,,
53,1,25,1,22,0,13,0,1,0,,,,3,0,1,1,,,17,8////,,
84,1,25,1,22,2,13,7,2,1,6,2,,1,1,0,1,,,2,8////,a-b/d-e-f,
89,1,25,1,22,2,13,30,2,5,8,1,0,1,1,0,1,,,4,8////,c-d-e,
89,1,25,1,22,2,13,30,2,5,8,1,0,4,1,0,2,,,4,8////,,
6,1,25,1,22,0,14,13,2,8,6,5,0,1,0,1,1,,,4,8////,b-c-d-e-f,
4,1,25,1,22,0,15,8,2,1,8,5,0,2,1,1,1,0,99,8,8////,,
55,1,25,1,22,1,15,25,2,3,8,5,0,1,1,1,1,,,8,8////,b/f,A4 Dresden-Chemnitz
55,1,25,1,22,1,15,35,2,2,8,5,0,2,2,1,2,,,8,8////,,A4 Dresden-Chemnitz
55,1,25,1,22,1,15,35,2,3,8,5,0,3,1,1,1,,,8,8////,,A4 Dresden-Chemnitz
74,2,25,1,24,2,6,35,7,1,0,0,8,10,2,0,1,,,2,80203,,kA kE
4,1,25,1,24,0,7,50,1,1,1,1,8,8,1,3,2,0,99,8,810//,,
83,1,25,1,24,0,10,29,1,1,3,1,0,5,0,1,1,1,99,11,8////,,
46,1,25,1,24,2,11,0,1,3,7,5,8,1,1,1,1,,99,8,8////,c-d-e,kA
6,1,25,1,24,0,11,32,2,9,6,5,8,1,1,1,1,,,4,8////,a-b-c-d-e-f-g,
4,1,25,1,24,0,12,15,1,1,1,3,1,5,0,4,2,0,99,8,8////,,
53,1,25,1,24,0,12,25,1,1,,,,1,0,1,1,,,17,8////,d,kA/kE
53,1,25,1,24,0,12,25,1,1,,,,3,1,1,1,,,17,8////,,kA/kE
62,1,25,1,24,0,14,10,1,1,9,5,7,2,1,1,1,,,10,8////,,als Großer Fleck
53,1,25,1,24,0,15,25,1,5,,,,4,1,1,1,,,17,8////,,kA/kE
53,1,25,1,24,0,15,35,5,1,0,0,,1,0,1,1,,99,17,8////,h,kA/kE
93,1,25,1,24,0,16,0,2,1,4,1,5,1,0,4,1,8,,35,8////,b-c-d-e-f,Cirrus increasing during period of observation. UH.
93,1,25,1,24,0,16,20,2,1,6,1,5,1,0,4,1,8,,35,8////,b-c-d-e-f,UH.
53,1,25,1,25,0,10,0,4,1,0,0,,1,0,1,1,,99,17,8////,g-h,kA/kE/Reif auf Schnee
53,1,25,1,25,0,10,30,1,27,,,,3,2,1,1,,,17,8////,,lA/kE/UH/UB
4,1,25,1,25,0,10,40,2,1,8,3,1,1,1,4,1,1,99,8,8////,c-d-e,
53,1,25,1,25,0,11,0,1,1,,,,11,0,1,1,,,17,8////,,kA/kE
4,1,25,1,25,0,12,0,1,1,8,5,8,1,1,4,1,1,99,8,8////,b-c-d-e-f,
53,1,25,1,25,0,12,20,2,1,,,,1,0,1,1,,,17,8////,b-c-d-e-f,kA/kE
53,1,25,1,25,0,15,0,1,3,,,,2,1,1,1,,,17,8////,,kA
6,1,25,1,26,0,10,24,2,4,6,5,7,1,1,1,1,,,4,8////,c-d-e,
93,1,25,1,26,0,10,55,2,1,7,3,1,1,0,1,1,3,2,35,8////,c-d-e,
53,1,25,1,27,0,8,35,4,6,0,0,,1,1,1,1,,99,17,8////,a-h-g,kA/kE/Reif auf Schnee
53,1,25,1,27,0,8,35,4,1,0,0,,12,0,1,1,,99,17,8////,a-h-g,kA/kE/Reif auf Schnee
