34,1,88,3,1,0,12,45,1,4,4,6,1,1,0,,1,,0,7,/////,,
10,1,88,3,1,0,13,10,2,18,,5,5,1,2,1,1,,,4,/////,,
39,1,88,3,1,0,13,20,1,,7,5,,1,1,1,1,,,4,/////,,
28,1,88,3,1,2,14,0,0,2,8,3,2,1,0,1,1,1,7,7,/////,,
38,1,88,3,1,0,14,35,1,6,8,1,5,1,0,1,1,,,8,/////,,
25,1,88,3,1,0,15,20,1,2,8,3,2,1,1,1,1,,4,8,/////,,
6,1,88,3,1,2,18,10,1,2,4,3,7,10,1,0,2,4,5,4,/////,,
18,2,88,3,1,0,18,25,1,1,8,1,2,8,1,0,2,,,8,/////,,
28,2,88,3,2,2,4,0,0,3,,3,2,8,2,0,2,,,7,/////,,
28,2,88,3,2,2,4,0,0,3,,3,2,9,2,0,2,,,7,/////,,
9,1,88,3,2,2,7,55,1,2,,,8,8,3,0,2,,0,7,/////,,
9,1,88,3,2,2,8,0,1,0,,,8,9,2,0,2,,0,7,/////,,
27,1,88,3,2,0,8,20,0,1,,,,10,1,3,2,,17,8,/////,,
26,1,88,3,2,0,16,25,0,0,,,,10,2,4,2,,,8,/////,,
18,1,88,3,2,1,16,40,1,2,8,1,2,9,2,0,2,,,8,/////,,
18,1,88,3,2,1,16,45,1,3,8,1,2,8,2,0,2,,,8,/////,,
10,1,88,3,2,0,17,10,1,0,,5,5,8,1,4,2,,,4,/////,,
33,2,88,3,2,2,18,50,0,1,,3,8,10,1,3,1,,,4,/////,,
28,2,88,3,2,2,21,57,2,0,,3,7,1,1,1,2,1,3,7,/////,,
9,1,88,3,3,2,10,0,2,24,8,3,7,1,1,4,1,,,7,/////,,
9,1,88,3,3,2,10,20,2,1,8,3,7,3,1,4,2,,,7,/////,,
2,1,88,3,3,0,11,30,2,5,4,5,3,1,0,1,1,4,,8,/////,,
18,1,88,3,3,1,12,5,0,2,0,0,4,1,1,0,1,,,8,/////,,
15,1,88,3,3,2,12,9,2,11,8,1,0,1,1,0,1,,,8,/////,,
26,1,88,3,3,0,12,15,2,1,7,5,5,1,1,1,1,,,8,/////,,
25,1,88,3,3,0,12,20,2,16,8,3,5,1,1,1,1,,18,8,/////,,
34,1,88,3,3,0,12,50,1,6,8,3,0,1,0,,1,,26,7,/////,,
30,1,88,3,3,0,13,20,2,2,8,5,0,1,1,0,1,,,8,/////,,
4,1,88,3,3,2,13,30,2,12,8,3,0,1,1,4,1,1,25,8,/////,,
25,1,88,3,3,0,13,35,2,3,8,3,5,3,0,0,1,,18,8,/////,,
38,1,88,3,3,0,13,40,2,6,8,3,0,1,0,1,1,,16,8,/////,,
41,1,88,3,3,0,13,41,1,1,7,3,,1,1,1,1,,,8,/////,,
29,1,88,3,3,2,13,55,2,10,8,3,5,1,0,1,1,,13,4,/////,,
4,1,88,3,3,2,14,0,2,3,8,3,5,5,1,4,1,1,26,8,/////,,
25,1,88,3,3,0,14,0,2,2,8,3,5,5,1,1,1,,18,8,/////,,
33,1,88,3,3,2,14,0,0,,,3,5,1,0,4,1,1,25,4,/////,,
25,1,88,3,3,0,14,15,2,2,8,3,5,2,0,0,1,,18,8,/////,,
18,1,88,3,3,1,14,45,0,0,0,0,4,10,1,0,2,,,8,/////,,
29,1,88,3,3,2,15,0,2,4,8,3,5,5,1,1,1,,12,4,/////,,
38,1,88,3,3,0,16,30,2,2,8,3,0,8,1,0,1,,16,8,/////,,
18,2,88,3,3,1,19,40,0,1,0,0,,10,1,0,2,,0,4,/////,,
4,2,88,3,3,0,19,44,1,5,8,3,0,1,0,0,1,1,8,8,/////,,
30,2,88,3,3,0,20,10,2,3,8,3,0,1,0,0,1,,,8,/////,,
9,2,88,3,3,2,20,30,2,2,8,3,9,1,1,0,1,,,7,/////,,
25,2,88,3,3,0,20,30,2,2,8,3,0,1,1,1,1,,10,8,/////,,
25,2,88,3,3,0,20,30,2,2,8,3,0,2,0,0,1,,10,8,/////,,
25,2,88,3,3,0,20,30,2,2,8,3,0,3,0,0,1,,10,8,/////,,
34,2,88,3,3,0,21,0,1,,8,3,0,1,1,1,1,,18,7,/////,,
34,2,88,3,3,0,21,0,1,4,8,3,0,2,1,,1,,18,7,/////,,
33,2,88,3,3,2,21,5,1,8,8,3,9,1,1,0,1,1,18,4,/////,,
33,2,88,3,3,2,21,5,1,8,8,3,9,7,1,0,1,1,18,4,/////,,
15,2,88,3,3,2,21,33,0,13,8,3,1,1,1,0,2,,,8,/////,,
26,2,88,3,3,0,21,45,2,0,8,5,,1,1,0,1,,,8,/////,,
37,2,88,3,3,0,21,55,0,1,,4,0,1,1,3,1,,,7,/////,,
37,2,88,3,3,0,22,0,0,1,,4,0,2,3,0,2,,,7,/////,,
41,2,88,3,3,0,22,9,1,3,8,3,0,1,1,1,1,,,8,/////,,
2,2,88,3,3,0,22,15,0,,1,5,0,1,0,0,1,4,,8,/////,,
38,2,88,3,4,0,0,0,0,3,8,3,0,1,1,0,2,1,6,8,/////,,
38,2,88,3,4,0,0,0,0,3,8,3,0,5,1,0,1,1,6,8,/////,,
2,1,88,3,4,0,7,45,2,2,9,5,3,8,0,0,2,4,,8,/////,,
11,1,88,3,4,0,10,50,1,21,8,5,,1,1,1,1,,,21,/////,,
7,1,88,3,4,2,15,18,2,2,8,3,0,1,0,4,1,4,,7,/////,,
41,2,88,3,4,0,21,9,1,0,7,3,0,1,0,0,1,,,8,/////,,
26,2,88,3,4,0,21,25,1,0,8,5,0,1,0,0,1,,,8,/////,,
26,2,88,3,4,0,21,25,1,0,8,5,0,3,0,0,1,,,8,/////,,
16,2,88,3,4,0,21,45,0,6,,,0,1,1,0,1,,,8,/////,,
25,2,88,3,4,0,22,0,1,,8,3,8,1,0,1,1,4,8,8,/////,,
34,2,88,3,4,2,23,30,1,,7,3,0,1,1,0,1,,18,3,/////,,
28,2,88,3,5,2,5,44,0,2,,3,2,8,2,0,2,4,,7,/////,,
28,2,88,3,5,2,5,44,0,2,,3,2,9,2,0,2,4,,7,/////,,
28,1,88,3,5,2,7,43,0,0,1,3,2,8,0,3,2,4,,7,/////,,
33,1,88,3,5,0,15,45,0,2,5,3,5,1,0,4,1,,17,8,/////,,
41,1,88,3,5,0,17,42,1,0,4,3,0,8,1,4,1,,,8,/////,,
25,2,88,3,5,0,21,30,1,1,3,3,0,1,0,0,1,,,8,/////,,
41,1,88,3,6,0,16,56,2,0,4,3,5,8,1,3,1,,,8,/////,,
18,1,88,3,6,0,17,0,0,3,0,0,,8,2,0,2,,,8,/////,,
17,1,88,3,7,2,10,30,2,4,6,6,5,2,1,1,1,4,,7,/////,,
28,2,88,3,8,2,0,0,0,4,1,3,2,8,3,0,2,,1,7,/////,,
28,2,88,3,8,2,0,0,0,4,1,3,2,9,3,0,2,,1,7,/////,,
