KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
2,1,92,1,1,0,15,0,1,3,5,3,7,1,0,1,1,3,,8,8////,c-d-e,
25,1,92,1,2,0,11,45,1,,6,1,0,1,0,0,1,,,8,8////,f,
2,1,92,1,2,0,13,0,2,4,4,5,0,1,0,1,1,3,,8,8////,c-d-e,
38,1,92,1,5,0,11,0,2,2,8,3,0,1,0,1,1,,2,8,8////,c-d-e,
41,1,92,1,5,0,12,11,1,0,,3,8,1,1,1,1,1,,8,8////,c-d-e,kE
29,1,92,1,5,0,12,25,2,3,8,3,7,1,1,1,1,1,3,8,8////,c-d-e,
26,1,92,1,7,0,9,0,1,3,7,1,5,1,1,1,1,,,8,8////,c-d-e,
43,1,92,1,7,2,9,5,1,18,4,5,9,1,1,1,1,1,,8,8////,b-c-d-e-f,
43,1,92,1,7,2,9,5,1,6,4,5,9,5,1,1,,1,,8,8////,,
43,1,92,1,7,2,9,5,1,3,4,5,9,9,1,0,,1,,8,8//08,,
38,1,92,1,7,0,10,30,1,1,8,5,0,1,0,1,1,,,8,8////,d,
2,1,92,1,7,0,11,0,2,,3,5,9,1,0,1,1,4,,8,8////,c-d-e,
25,1,92,1,7,2,11,30,1,4,8,1,0,3,0,0,1,,,7,8////,,
25,1,92,1,7,2,11,40,1,5,8,1,0,1,0,1,1,,,7,8////,c-d-e,
4,1,92,1,7,2,12,15,1,0,7,5,9,3,2,0,1,3,,8,8////,,
29,1,92,1,7,2,14,5,2,4,8,3,8,1,0,1,1,,,8,8////,c-d-e,
44,1,92,1,8,2,10,45,1,4,5,4,0,3,2,0,1,,,8,8////,,U
44,1,92,1,8,2,11,30,1,0,5,4,0,2,0,0,1,,,8,8////,,
43,1,92,1,8,2,12,40,2,2,8,7,4,3,1,1,,1,8,8,8////,,
43,1,92,1,8,2,12,40,2,1,8,7,4,11,1,1,,1,1,8,8////,,
49,1,92,1,8,0,15,24,2,0,4,3,,8,1,1,1,4,,8,803//,,
25,1,92,1,9,2,13,20,2,1,8,5,3,1,0,1,1,,,7,8////,d,
48,1,92,1,11,1,14,30,2,2,7,2,2,2,1,0,1,,,4,8////,,Templin
48,1,92,1,18,1,13,30,1,1,5,2,0,3,3,3,1,,32,11,8////,,Kochel
43,1,92,1,21,0,8,50,1,2,1,1,7,1,2,1,1,,,8,8////,a-b-c,
