KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
6,1,14,1,1,0,9,0,1,9,3,1,0,1,1,1,1,,,4,8////,b-c-d-e-f,
95,1,14,1,1,0,10,5,1,11,7,3,0,1,1,3,1,,,24,8////,b-c-d-e-f,
56,1,14,1,1,0,10,10,1,3,5,1,0,2,2,1,,,,2,8////,,Kondensstreifen
56,1,14,1,1,0,11,45,1,1,5,1,0,3,2,1,,,,2,8////,,
13,1,14,1,1,0,12,45,1,2,4,1,0,3,1,1,1,1,,5,8////,,
3,1,14,1,1,0,14,5,1,9,6,1,8,4,2,4,1,,,11,8////,,UH
53,1,14,1,1,0,15,42,1,1,,,,3,0,1,1,,,17,8////,,kA/kE
53,1,14,1,2,0,8,35,2,22,,,,2,2,1,1,,,17,8////,,kA/UB/UH
53,1,14,1,2,0,8,50,2,20,,,,1,1,1,1,,,17,8////,c-d-e,kA/kE/UB
93,1,14,1,2,0,10,10,1,0,1,1,5,2,1,1,2,,,35,8////,,Barely any colouring.
4,1,14,1,2,2,10,17,2,2,1,5,8,3,1,1,2,3,5,8,8////,,"UH 20', DD:10/10'"
77,1,14,1,2,0,11,39,1,4,3,1,9,1,0,1,1,3,1,8,8////,c-d-e-f,
38,1,14,1,2,0,12,50,1,1,5,5,9,2,1,4,1,1,4,8,8////,,
51,1,14,1,2,2,12,50,1,1,5,5,9,2,1,4,1,1,4,8,8////,,
38,1,14,1,2,0,13,20,1,1,5,5,8,1,1,4,1,1,4,8,8////,a-b-c-d,
51,1,14,1,2,2,13,20,1,1,5,5,8,1,1,4,1,1,4,8,8////,a-b-c-d,
4,1,14,1,2,2,13,35,2,0,8,5,9,2,3,1,2,3,2,8,8////,,
95,1,14,1,2,0,15,30,1,3,3,1,0,5,2,4,,,,24,8////,,
3,1,14,1,3,0,8,10,1,3,5,1,0,4,1,4,1,,,11,8////,,kE
46,1,14,1,3,2,9,0,1,3,6,1,8,3,1,1,1,,,8,8////,,kA
38,1,14,1,3,0,9,55,1,1,7,5,,3,1,4,1,3,,8,8////,,
51,1,14,1,3,2,9,55,1,1,7,5,,3,1,4,1,3,,8,8////,,
4,1,14,1,3,2,9,58,1,0,7,1,0,3,1,4,1,,,8,8////,,Föhn
77,1,14,1,3,0,10,10,1,14,3,5,1,1,0,4,1,3,,8,8////,c-d-e,UH 11:40-11:50 Uhr MEZ
53,1,14,1,3,0,10,15,1,2,,,,1,1,1,1,,,17,8////,b-c-d,kA/kE/UB
77,1,14,1,3,0,10,29,2,12,3,5,1,2,0,4,1,3,,8,8////,,UH 11:27-12:10 Uhr MEZ
53,1,14,1,3,0,10,30,1,1,,,,2,1,1,1,,,17,8////,,kA/kE
38,1,14,1,3,0,10,35,1,1,7,5,,2,1,4,1,3,,8,8////,,
51,1,14,1,3,2,10,35,1,1,7,5,,2,1,4,1,3,,8,8////,,
4,1,14,1,3,2,10,38,1,0,7,5,0,2,1,4,1,,,8,8////,,Föhn
4,1,14,1,3,2,10,38,1,2,7,5,0,3,1,4,1,,,8,8////,,Föhn
44,1,14,1,3,1,12,0,2,3,7,3,7,1,1,1,1,,,4,8////,b-c-d-e-f,Ketzür
4,1,14,1,3,2,12,13,1,0,7,5,9,3,1,4,1,,,8,8////,,Föhn
38,1,14,1,3,0,12,15,1,1,7,5,,3,2,1,1,3,,8,8////,,
51,1,14,1,3,2,12,15,1,1,7,5,,3,2,1,1,3,,8,8////,,
4,1,14,1,3,2,12,40,1,1,7,5,9,2,1,4,1,,,8,8////,,Föhn
4,1,14,1,3,2,12,47,1,0,7,5,9,3,0,4,1,,,8,8////,,Föhn
44,1,14,1,3,1,13,15,2,1,7,3,7,2,1,1,1,,,4,8////,,Ketzür
