KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
77,1,19,1,1,1,9,0,1,12,6,4,0,1,1,1,1,,,17,8////,b-c-d-e-f,Tannheimer Tal
77,1,19,1,1,1,9,0,1,12,6,4,0,2,1,1,1,,,17,8////,,Tannheimer Tal
77,1,19,1,1,1,9,0,1,12,6,4,0,5,1,1,1,,,17,8////,,Tannheimer Tal
44,1,19,1,1,1,14,20,2,9,7,3,0,1,1,1,2,,,36,8////,,"Playa Blanca, Lanzarote"
93,1,19,1,1,0,14,20,2,0,9,1,2,2,0,1,2,,,35,8////,,
44,1,19,1,1,1,15,30,2,2,7,3,0,4,2,1,2,,,36,8////,,"Playa Blanca, Lanzarote"
93,1,19,1,3,0,11,0,1,0,4,1,2,2,2,4,1,,,35,8////,,Caused by distant contrail.
93,1,19,1,3,0,13,20,1,1,3,1,2,11,2,1,2,,,35,8////,,
53,1,19,1,4,0,8,10,7,1,0,0,,8,2,3,2,,,17,802//,,kA/kE
62,1,19,1,4,0,12,45,2,1,9,3,2,1,1,0,1,1,,10,8////,d,kA kE
80,1,19,1,4,1,14,50,2,3,8,3,,1,1,1,1,,16,10,8////,a-b-c-d-e-f-g,KA g=westlich von Stuttgart
93,1,19,1,9,0,15,0,1,6,6,1,2,1,0,1,1,8,,35,8////,b/f,
93,1,19,1,9,0,15,0,1,3,6,1,2,4,0,1,2,8,,35,8////,,UH
93,1,19,1,9,0,15,50,1,0,6,1,2,5,1,1,2,8,,35,8////,,
53,1,19,1,10,0,7,25,7,1,0,0,,8,1,3,2,,0,17,812//,,kA/kE
53,1,19,1,11,0,9,25,7,1,0,0,,9,1,0,1,,,17,8//01,,kA/kE
53,1,19,1,11,0,9,35,7,1,0,0,,8,1,0,2,,,17,802//,,kA/kE
4,1,19,1,13,2,14,45,2,2,7,5,8,1,1,4,1,,99,8,8////,c-d-e-f,Föhn
46,1,19,1,14,0,8,30,1,3,7,5,2,1,1,1,1,,,4,8////,b-c-d-e-f,kA
6,1,19,1,14,0,8,51,1,8,6,1,0,1,1,1,1,,,4,8////,b-c-d-e-f,
82,1,19,1,14,0,9,25,1,10,4,5,2,1,1,1,1,,5,4,8////,b-c-d-e-f,kA
53,1,19,1,14,0,14,0,1,2,,,,1,0,1,1,,,17,8////,b/d/f,kA/kE
13,1,19,1,15,0,12,0,1,1,2,1,0,2,1,1,1,,99,5,8////,,
13,1,19,1,15,0,13,0,1,1,2,1,0,1,2,1,2,,99,5,8////,,
13,2,19,1,15,0,22,50,1,7,6,3,0,1,2,0,2,,99,5,8////,,
83,1,19,1,16,1,8,45,1,1,8,1,1,4,2,1,2,,,11,8////,,Während Bahnfahrt zw. Augsburg und Ulm
83,1,19,1,16,1,9,32,2,0,9,3,1,1,1,0,1,,,10,8////,c-d-e,"kA kE, Ulm Hauptbahnhof, kurze Wolkenlücke"
83,1,19,1,16,1,9,32,2,0,9,3,1,5,1,0,2,,,10,8////,,"kA kE, Ulm Hauptbahnhof, kurze Wolkenlücke"
72,1,19,1,16,0,9,40,1,2,6,1,8,5,1,1,1,4,21,10,8////,,
72,1,19,1,16,0,9,55,1,1,6,1,8,1,1,1,1,4,20,10,8////,c-d-e,
72,1,19,1,16,0,10,7,1,8,6,1,8,3,1,4,1,4,20,10,8////,,
72,1,19,1,16,0,11,9,1,2,7,1,8,2,1,1,1,4,19,10,8////,,
62,1,19,1,16,0,12,15,1,0,8,1,8,3,1,0,1,,,10,8////,,
62,1,19,1,16,0,12,25,1,5,8,1,8,2,1,1,2,,,10,8////,,UH
53,1,19,1,16,0,14,30,1,4,,,,2,1,1,1,,,17,8////,,kA/kE/UH/UB
53,1,19,1,16,0,14,45,1,1,,,,3,0,1,1,,,17,8////,,kA/kE
53,1,19,1,16,0,15,0,1,1,,,,11,0,1,1,,,17,8////,,kA
53,1,19,1,16,0,15,35,,1,,,,1,0,1,1,,,17,8////,d,kA
93,1,19,1,16,0,16,5,1,0,9,1,9,2,2,4,2,2,,35,8////,,Occurred at rear of front.
31,2,19,1,16,0,19,10,1,24,9,1,1,1,1,0,2,,12,8,8////,,kA kE UB
62,2,19,1,16,0,20,0,2,16,8,3,0,1,2,0,1,,,10,8////,d/c-d-e-f,kA kE UH
82,2,19,1,16,0,20,0,1,17,6,3,0,1,0,0,1,,10,4,8////,b-c-d-e-f,kA kE
46,2,19,1,16,0,20,45,1,4,7,5,8,1,1,0,1,,,4,8////,d-e-f-g,kA
6,2,19,1,16,0,21,46,1,13,6,5,2,1,1,3,2,,,4,8////,,
31,2,19,1,16,0,21,50,1,4,9,1,1,4,1,1,1,,10,8,8////,,
6,2,19,1,17,0,0,57,1,8,6,3,2,1,1,3,1,,,4,8////,b-c-d-e-f,
6,2,19,1,17,0,0,57,1,1,6,3,2,2,1,3,2,,,4,8////,,
74,1,19,1,17,2,10,20,1,0,1,1,5,3,3,1,2,,,2,8////,,"kA kE, während der Arbeit"
93,2,19,1,17,0,19,0,2,36,8,3,8,1,2,0,2,3,,35,8////,,"At its best around 21-22 CET, UH UB after 23 CET."
69,2,19,1,17,0,19,40,1,30,7,1,0,1,1,0,2,,,6,8////,,kA UB kE
80,2,19,1,17,1,21,10,1,1,5,3,,1,1,0,1,,10,11,8////,a-b-c-d-e-f-g,KA KE g=Mainburg
93,2,19,1,18,0,0,0,2,12,7,3,8,1,1,0,2,3,,35,8////,,Continuation of event from 17/01/19.
74,1,19,1,18,0,13,0,5,3,0,0,0,1,1,1,1,,,2,8////,g-h-a,"kA kE, Deisterkammweg"
74,1,19,1,18,0,13,0,5,3,0,0,0,12,1,1,1,,,2,8////,g-h-a,"kA kE, Deisterkammweg"
78,1,19,1,18,1,15,0,1,2,2,3,8,3,1,1,,,,11,8////,,Landshut
83,1,19,1,18,1,16,15,0,4,8,1,8,8,2,0,2,,,11,808//,,"Eitting, 48.3789N 11.8566E"
78,1,19,1,18,2,16,30,1,2,2,1,8,8,0,3,,,,11,812//,,München
83,2,19,1,18,0,17,15,0,62,8,3,0,1,2,0,2,,,11,8////,,kE
78,2,19,1,18,1,17,30,1,3,5,1,0,1,1,0,2,,,11,8////,,"kA kE, Miesbach"
62,2,19,1,18,0,19,0,2,24,8,5,0,1,2,0,2,,,10,8////,,kA kE UH UB
80,2,19,1,18,1,20,30,1,0,7,3,,1,1,0,1,,99,11,8////,a-b-c-d-e,KA KE g=Alteglofsheim
83,2,19,1,19,0,1,50,1,8,8,3,0,7,0,0,1,,,11,8////,,kE
62,1,19,1,19,0,7,40,0,2,1,1,0,8,2,0,1,,,10,805//,,kA kE
38,1,19,1,19,2,8,0,1,9,6,1,0,2,1,1,1,,99,8,8////,,kE Foto
38,1,19,1,19,2,8,0,1,9,6,1,0,3,1,1,1,,99,8,8////,,kE Foto
51,1,19,1,19,2,8,0,1,9,6,1,0,2,1,1,1,,99,8,8////,,kE
51,1,19,1,19,2,8,0,1,9,6,1,0,3,1,1,1,,99,8,8////,,kE
31,1,19,1,19,0,8,10,1,1,2,1,8,8,2,0,1,,,8,804//,,kA kE
55,1,19,1,19,0,8,10,1,17,8,5,8,5,1,1,1,,,8,8////,,UH UB
38,1,19,1,19,2,8,20,1,2,6,1,0,1,1,1,1,,99,8,8////,b-c-d-e-f,"Farbig!, Foto"
38,1,19,1,19,2,8,20,1,2,6,1,0,8,1,0,2,,99,8,810//,,Foto
51,1,19,1,19,2,8,20,1,2,6,1,0,1,1,1,1,,99,8,8////,b-c-d-e-f,farbig!
51,1,19,1,19,2,8,20,1,2,6,1,0,8,1,0,2,,,8,810//,,
4,1,19,1,19,0,8,25,1,2,8,1,0,2,1,4,1,,99,8,8////,,
77,1,19,1,19,0,8,30,1,39,5,4,0,2,1,1,1,,,8,8////,,mehrmals kurze Unterbrechungen der Sichtbarkeit
