KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
4,1,4,1,1,0,8,47,1,0,3,1,2,8,2,3,2,,,8,803//,,
46,1,4,1,1,2,12,30,2,2,7,5,1,3,1,1,1,0,,8,8////,,kA
73,1,4,1,1,0,13,23,0,1,5,3,5,1,1,1,1,,,7,8////,b-c-d-e-f,
38,1,4,1,1,0,13,45,1,3,6,5,0,2,1,1,1,1,,11,8////,,
51,1,4,1,1,2,13,45,1,3,6,5,0,2,1,1,1,1,,11,8////,,
9,1,4,1,1,1,14,0,1,6,4,3,7,1,1,1,1,,,8,8////,b-c-d-e-f,kA kE UH Olbernhau
31,1,4,1,1,0,14,0,1,6,9,1,3,1,1,1,1,,,8,8////,b-c-d-e-f-g,kA
31,1,4,1,1,0,14,0,1,6,9,1,3,3,1,1,1,,,8,8////,,kA
31,1,4,1,1,0,14,0,1,4,9,1,3,5,1,1,1,,,8,8////,,kA
53,1,4,1,1,0,14,0,5,,0,0,,12,1,1,1,,,17,8////,h,kA/kE
38,1,4,1,1,0,14,20,1,2,6,5,0,3,1,1,1,1,,11,8////,,
51,1,4,1,1,2,14,20,1,2,6,5,0,3,1,1,1,1,,11,8////,,
4,1,4,1,1,0,14,25,5,3,0,0,5,1,1,1,1,,,8,8////,a/g-h,
4,1,4,1,1,0,14,25,5,3,0,0,5,12,2,1,1,,,8,8////,a/g-h,
34,1,4,1,1,0,14,30,,4,,,,1,1,1,1,,,3,8////,,
2,1,4,1,1,0,14,35,1,4,3,3,7,1,0,1,1,,,8,8////,c/d-e-f,
2,1,4,1,1,0,14,35,1,4,3,3,7,8,0,0,1,,,8,803//,,
53,1,4,1,1,0,14,50,1,2,8,7,2,2,1,1,1,,,17,8////,,kA/kE
53,1,4,1,1,0,15,0,1,1,8,7,2,1,1,1,1,,,17,8////,b,
38,1,4,1,1,0,16,0,1,8,7,5,0,8,1,0,2,1,,11,810//,,
51,1,4,1,1,2,16,0,1,2,6,5,0,8,1,0,2,1,,11,810//,,
4,2,4,1,1,0,17,35,2,26,8,3,0,1,1,0,2,3,13,8,8////,,kA kE UB
4,2,4,1,1,0,17,55,2,0,8,3,0,7,1,0,1,3,13,8,8////,c-d-e,kA kE UB
8,2,4,1,1,0,18,0,1,9,8,3,9,1,2,0,2,,,2,8////,,kA
38,2,4,1,1,0,18,0,1,12,7,5,0,1,1,0,2,1,,11,8////,,kA kE
38,1,4,1,1,0,18,0,1,12,7,5,0,7,1,0,2,1,,11,8////,,kA kE
51,2,4,1,1,2,18,0,1,12,6,5,0,1,2,1,2,1,,11,8////,,"kA, kE"
51,2,4,1,1,2,18,0,1,12,6,5,0,7,2,1,2,1,,11,8////,,"kA, kE"
53,2,4,1,1,0,18,0,1,3,,,1,1,1,,1,,,17,8////,c-d-e,kA/kE/UB
56,2,4,1,1,0,18,15,1,29,8,5,,1,2,0,2,,,2,8////,,
9,2,4,1,1,0,18,30,1,2,8,3,7,1,0,0,1,,,8,8////,c-d-e,kA kE
57,2,4,1,1,0,19,0,,24,,,,1,0,0,2,,,2,8////,,
64,2,4,1,1,0,21,0,0,9,8,3,2,1,1,0,2,3,3,7,8////,,
31,2,4,1,1,1,21,40,1,2,,1,,1,1,0,2,,,8,8////,,"kA, kE, Ort: Stollberg/Erzg."
15,2,4,1,1,0,22,30,2,2,8,2,2,1,1,0,1,2,12,8,8////,b-c-d-e-f,
22,2,4,1,1,0,22,30,1,3,,3,,1,1,0,2,,,5,8////,,kA kE
4,5,4,1,2,2,6,25,6,3,0,0,4,8,2,1,2,3,0,8,810//,,kA kE UB
13,1,4,1,2,0,9,40,2,16,5,5,0,1,1,1,1,,,5,8////,b-c-d-e-f,UH 11-11.15
56,1,4,1,2,0,10,0,2,2,8,5,7,1,1,0,1,,,2,8////,d,kA
22,1,4,1,2,0,10,10,1,4,6,3,,1,1,4,1,,,5,8////,b-c-d-e-f,
22,1,4,1,2,0,10,10,1,4,6,3,,5,2,1,2,,,5,8////,,
3,1,4,1,2,2,11,20,1,6,7,1,2,1,1,1,1,,,11,8////,b-c-d-e-f,
13,1,4,1,2,0,11,40,1,2,5,5,0,3,1,1,1,,,5,8////,,
58,1,4,1,2,2,14,50,1,5,6,1,2,3,1,0,1,,,2,8////,,Schnee aus Sc
22,1,4,1,2,0,15,55,1,1,3,5,,3,2,1,2,,,5,8////,,
90,2,4,1,2,0,20,30,2,1,8,3,0,1,1,0,1,,,35,8////,c-d-e,kA kE
46,2,4,1,3,2,3,55,1,1,2,1,2,10,1,0,1,0,,8,80505,,
56,1,4,1,3,0,11,55,2,17,8,5,0,1,1,1,1,,1,2,8////,a-b-c-d-e-f-g,kA
56,1,4,1,3,0,12,50,2,3,8,5,0,5,2,1,,,,2,8////,,
31,1,4,1,3,0,14,10,1,2,9,1,1,1,1,1,1,,,8,8////,c-d-e-f,kA
31,1,4,1,3,0,14,20,1,1,9,1,1,5,1,1,1,,,8,8////,,
2,1,4,1,3,0,15,20,1,3,3,3,2,1,1,1,1,,1,8,8////,f-g,
2,1,4,1,3,0,15,20,1,3,3,3,2,3,1,1,2,,,8,8////,,
46,1,4,1,3,2,15,25,1,2,6,1,5,3,1,1,1,0,,8,8////,,kA
15,1,4,1,3,2,15,45,2,2,4,5,2,8,1,3,2,2,11,8,806//,,
73,2,4,1,3,0,18,15,1,18,7,3,0,1,0,0,2,,,7,8////,,
15,2,4,1,3,2,18,25,0,24,8,1,0,1,1,0,2,2,8,8,8////,,
15,2,4,1,3,2,18,25,0,24,8,1,0,5,1,0,2,2,8,8,8////,,
34,2,4,1,3,0,18,30,1,15,8,3,,1,1,0,2,,,3,8////,,
31,2,4,1,3,0,18,45,1,20,8,5,1,1,2,1,2,,,8,8////,,"kE, ab 21:30 H1"
31,2,4,1,3,0,19,0,1,6,8,5,1,7,1,0,1,,,8,8////,c-d-e/g-h-a,
38,2,4,1,3,2,19,30,1,9,8,3,0,1,1,0,2,,,8,8////,,kA
55,2,4,1,3,0,19,30,1,10,8,5,0,1,1,0,2,,,8,8////,,kA ke
68,2,4,1,3,0,19,50,1,24,8,3,0,1,1,0,2,3,15,8,8////,,
68,2,4,1,3,0,19,50,1,19,8,3,0,7,1,0,1,3,15,8,8////,d/h,UH
4,2,4,1,3,0,20,35,1,9,8,3,0,1,1,0,2,1,13,8,8////,,kA kE
63,2,4,1,3,2,20,35,2,9,3,3,0,1,1,0,2,1,11,8,8////,,
62,2,4,1,3,0,21,45,2,18,8,3,0,1,1,0,1,,,10,8////,,
59,2,4,1,4,0,0,30,2,18,7,3,0,1,1,0,1,3,19,1,8////,b-c-d-e-f,B:03
44,2,4,1,4,1,0,45,2,8,8,3,0,1,1,1,2,,,4,8////,,Ketzür
68,1,4,1,4,0,9,50,2,1,8,1,8,1,1,1,1,3,1,8,8////,c-d-e,
68,1,4,1,4,0,11,5,2,5,8,3,7,1,2,1,1,3,,8,8////,b-c-d-e-f,
38,1,4,1,4,2,12,35,7,1,0,0,5,8,1,0,2,3,,8,805//,,
53,5,4,1,4,0,17,55,6,3,0,0,1,8,2,1,2,,0,17,830//,,"kA/kE/Schneefall aus St, grün, gelb, orange, je nach Lampe"
53,5,4,1,4,0,18,15,6,1,0,0,1,9,1,5,2,,0,17,8//05,,kA/kE/Schneefall aus St
68,1,4,1,5,0,10,50,5,5,0,0,,12,0,1,1,,,8,8////,g-h-a,
68,1,4,1,5,0,13,0,5,2,0,0,,1,1,1,1,,,8,8////,h,
15,1,4,1,5,0,15,55,1,1,1,1,0,8,1,4,2,2,,8,802//,,
63,1,4,1,5,2,16,10,6,1,0,0,0,2,2,4,1,,,8,8////,,
3,1,4,1,5,0,16,15,1,2,3,1,0,8,2,3,2,,,11,810//,,
53,1,4,1,6,0,8,15,6,,0,0,0,4,0,,1,,0,17,8////,,kA/kE
53,1,4,1,6,0,8,20,6,,0,0,0,8,1,0,1,,0,17,801//,,kA/kE
46,1,4,1,6,2,8,45,1,2,7,5,8,5,1,1,1,0,,8,8////,,kA
31,1,4,1,6,0,9,0,1,1,4,1,9,8,1,0,1,,,8,812//,,
46,1,4,1,6,2,9,5,1,1,7,5,8,3,1,1,1,0,,8,8////,,kA
31,1,4,1,6,0,9,15,2,4,5,1,9,2,2,1,1,,,8,8////,,kA
31,1,4,1,6,0,9,15,2,4,5,1,9,3,2,1,1,,,8,8////,,kA
38,1,4,1,6,2,9,15,1,5,5,5,0,5,1,1,2,3,,8,8////,,
38,1,4,1,6,2,9,15,1,5,5,5,0,11,1,1,1,3,,8,8////,,UH
31,1,4,1,6,0,9,20,2,3,6,1,9,5,1,1,1,,,8,8////,,
53,1,4,1,6,0,9,20,6,,0,0,0,44,0,0,1,,0,17,8////,,kA/kE
4,1,4,1,6,2,9,40,1,1,6,1,5,5,1,4,1,1,4,8,8////,,kA
68,1,4,1,6,0,9,55,1,1,6,1,0,1,1,1,1,1,10,8,8////,c-d-e,
31,1,4,1,6,0,10,0,1,9,6,1,9,4,3,1,2,,,8,8////,,"kE, HU gesamt 20 min"
31,1,4,1,6,0,10,0,1,2,5,1,9,13,2,0,1,,,8,8////,,von EE03 ausgehend etwa 18°-20° lang
68,1,4,1,6,0,11,5,5,1,0,0,,12,0,1,1,,,8,8////,g-h-a,
53,1,4,1,6,0,13,0,5,,0,0,0,12,0,1,1,,,17,8////,h,kA/kE
68,1,4,1,6,0,14,35,7,5,0,0,7,1,1,1,1,1,5,8,8////,b-c-d-e-f,kA
22,2,4,1,7,0,7,45,0,2,,,8,8,2,0,,,,5,802//,,kA
95,1,4,1,7,0,8,35,1,37,7,3,0,1,2,3,1,,,24,8////,b-c-d-e-f,
22,1,4,1,7,0,10,35,1,2,4,5,9,1,1,4,1,,,5,8////,b-c-d-e-f,
38,1,4,1,7,2,11,50,1,1,2,1,0,2,1,4,1,3,,8,8////,,
34,1,4,1,7,2,14,45,2,1,4,1,7,2,1,1,1,,,3,8////,,Haldensleben
34,1,4,1,7,2,15,10,2,1,6,1,7,1,0,1,1,,,3,8////,c-d-e-f,MAgdeburg
34,2,4,1,7,0,18,30,1,4,7,5,2,8,1,0,1,,,3,803//,,Haldensleben-Salzwedel
73,1,4,1,8,2,9,3,1,36,4,4,5,3,2,1,2,2,30,7,8////,,UH
34,1,4,1,8,2,9,30,1,2,1,1,0,3,1,1,1,,,3,8////,,Stendal
73,1,4,1,8,2,10,10,1,23,4,4,5,1,1,0,1,2,30,7,8////,b-c-d-e-f,UH
73,1,4,1,8,2,10,20,0,0,4,4,5,21,2,1,1,2,30,7,8////,,B
73,1,4,1,8,2,10,28,1,27,4,4,5,5,1,0,1,2,30,7,8////,,
73,1,4,1,8,2,10,32,1,27,4,4,5,11,1,1,1,2,30,7,8////,,UH
73,1,4,1,8,2,10,39,1,0,4,4,5,21,2,1,1,2,30,7,8////,,A
51,1,4,1,8,2,10,50,1,19,7,1,8,3,2,1,2,,,11,8////,,"kA, kE"
73,1,4,1,8,2,10,54,1,27,4,4,5,2,2,1,2,2,30,7,8////,,UH
73,1,4,1,8,2,11,12,1,0,4,4,5,13,1,0,1,2,30,7,8////,,
51,1,4,1,8,2,11,20,1,4,7,1,8,1,1,1,1,,,11,8////,d-e,
53,1,4,1,8,2,12,5,1,0,1,,,3,1,1,1,,,17,8////,,kA/kE
51,1,4,1,8,2,13,0,1,6,7,1,8,1,2,1,1,,,11,8////,c-d-e-f-g,kE
2,1,4,1,8,0,13,55,1,3,1,5,0,1,0,1,1,,,8,8////,e-f-g,
2,1,4,1,8,0,13,55,1,3,1,5,0,2,1,1,2,,,8,8////,,
2,1,4,1,8,0,13,55,1,3,1,5,0,3,1,1,1,,,8,8////,,
4,1,4,1,8,2,14,0,1,1,2,5,0,4,1,4,1,1,14,8,8////,,kA kE
46,1,4,1,8,2,14,20,1,3,5,1,0,2,1,1,1,0,,8,8////,,kE
46,1,4,1,8,2,14,20,1,3,5,1,0,3,1,1,1,0,,8,8////,,kE
53,1,4,1,8,0,14,25,5,,0,0,,1,1,1,1,,,17,8////,g-h-a,kA/kE
53,1,4,1,8,0,14,25,1,,1,4,,3,1,1,1,,,17,8////,,kA/kE
53,1,4,1,8,0,14,25,5,,0,0,,12,0,1,1,,,17,8////,h,kA/kE
15,1,4,1,8,0,14,45,1,1,1,1,0,2,1,3,2,1,,8,8////,,
9,1,4,1,8,0,15,0,1,1,3,1,7,3,1,4,1,,,8,8////,,
59,1,4,1,8,0,15,0,1,1,2,1,0,3,2,1,2,3,18,1,8////,,B:01
29,1,4,1,8,0,15,5,1,2,3,5,0,2,1,1,1,,,8,8////,,
38,1,4,1,8,2,15,10,1,2,3,1,0,2,1,1,1,3,,8,8////,,
55,1,4,1,8,2,15,10,1,3,8,5,0,4,1,1,1,,,8,8////,,
38,1,4,1,8,2,15,15,1,2,3,1,0,3,2,1,1,3,,8,8////,,
68,1,4,1,8,2,15,35,2,1,4,1,0,3,1,1,1,1,,8,8////,,
15,1,4,1,8,0,15,40,1,2,1,1,0,3,1,3,2,1,,8,8////,,
15,1,4,1,8,0,15,40,1,2,1,1,0,8,1,3,2,1,,8,803//,,
72,1,4,1,8,0,15,40,1,0,3,3,7,8,1,0,2,1,,4,803//,,
4,2,4,1,8,0,18,18,1,14,8,3,0,1,1,0,1,1,9,8,8////,b-c-d-e-f,kA UB
4,2,4,1,8,0,18,18,1,12,8,3,0,3,2,4,1,1,9,8,8////,,kA UB
38,2,4,1,8,2,18,20,1,10,8,5,0,2,1,0,1,3,,8,8////,,UH
4,2,4,1,8,0,18,45,1,9,8,3,0,2,2,0,2,1,9,8,8////,,UB
9,2,4,1,8,0,19,0,1,3,4,1,7,1,1,0,1,,,8,8////,b-c-d-e-f,
9,2,4,1,8,0,19,0,1,3,4,1,7,4,1,0,2,,,8,8////,,
9,2,4,1,8,0,19,0,1,1,4,1,7,13,1,0,1,,,8,8////,,L40°- R40°
4,2,4,1,8,0,19,18,1,5,7,3,0,5,1,0,1,1,8,8,8////,,UB
