KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
53,1,20,1,1,0,9,45,4,1,0,0,,1,1,1,1,,99,17,8////,h,kA/kE
82,1,20,1,1,1,10,0,4,2,0,0,0,1,1,1,1,,,11,8////,g-h-a,Langenbach/Bad Steben
4,1,20,1,1,0,10,15,4,8,0,0,0,1,2,1,1,,99,8,8////,g-h-a,kA kE
4,1,20,1,2,0,9,15,4,16,0,0,0,1,2,1,1,,99,8,8////,g-h-a,kA kE
80,1,20,1,3,1,11,0,1,2,,,,2,1,1,2,,12,10,8////,,KA g=Neustadt Schwarzwald
53,1,20,1,3,1,12,30,1,1,,,,4,1,1,1,,,17,8////,,kA/kE/St. Wolfgang am See
53,1,20,1,3,1,13,0,1,1,,,,1,1,1,1,,,17,8////,d-e-f,kA/kE/St. Wolfgang am See
83,1,20,1,3,2,13,30,2,1,7,0,7,1,1,1,1,1,6,11,8////,b-c-d-e-f,kA
44,1,20,1,5,1,8,30,2,15,8,3,0,1,2,1,1,,,20,8////,a-b-c-d-e-f-g,Belek
53,1,20,1,5,0,9,30,5,11,0,0,,1,1,1,1,,99,17,8////,a-h,kA/kE/UB/ev. auch Reif auf Schneeflaeche
53,1,20,1,5,0,9,30,5,1,0,0,,12,0,1,1,,99,17,8////,h,kA/kE/ev. auch Reif auf Schneeflaeche
6,2,20,1,5,0,18,4,2,6,4,3,7,1,0,0,1,,,4,8////,a-b-c-d-e-f-g,
72,1,20,1,6,0,8,34,4,9,0,0,0,1,1,1,1,,99,10,8////,f-g-h-a-b,-
53,1,20,1,6,0,9,30,4,2,0,0,,1,1,1,1,,99,17,8////,g-h,kA/kE/wahrscheinlich Reif auf Schnee
56,2,20,1,6,1,20,25,1,1,1,1,0,1,1,0,1,,,2,8////,c-d-e-f-g-h,
53,1,20,1,7,0,8,45,4,1,0,0,,1,0,1,1,,99,17,8////,a/h-g,kA/kE
6,2,20,1,7,0,23,56,1,3,3,1,0,1,2,3,1,,,4,8////,c-d-e,
6,2,20,1,8,0,0,47,1,9,2,1,0,1,1,4,1,,,4,8////,a-b-c-d-e-f-g,
93,1,20,1,8,0,14,20,0,0,7,5,8,11,1,1,2,1,8,35,8////,,
78,1,20,1,9,1,8,58,1,5,3,1,2,3,2,1,,,,11,8////,,"kE,München"
44,1,20,1,9,2,9,0,1,6,6,1,0,1,0,1,1,,,11,8////,c-d-e,
44,1,20,1,9,2,9,0,1,27,6,1,0,3,1,1,1,,,11,8////,,
78,1,20,1,9,1,9,5,1,4,3,1,2,1,1,1,1,,,11,8////,c-d-e-f,"kE,München"
78,1,20,1,9,1,9,5,1,4,3,1,2,5,1,1,,,,11,8////,,"kE,München"
78,1,20,1,9,1,9,8,1,4,3,1,2,2,2,1,,,,11,8////,,"kE,München"
83,1,20,1,9,0,9,55,1,6,6,1,,1,2,1,1,,99,11,8////,b-c-d-e-f,kA kE
83,1,20,1,9,0,9,55,1,3,6,1,,4,2,1,1,,99,11,8////,,kA kE
83,1,20,1,9,0,10,15,1,1,6,1,,11,0,0,2,,99,11,8////,,kA kE
83,1,20,1,9,0,10,15,1,1,6,1,,12,0,1,1,,99,11,8////,c-d-e,kA kE
53,1,20,1,9,0,10,30,1,27,,,,2,1,1,1,,,17,8////,,kE/UB
53,1,20,1,9,0,10,30,1,13,,,,3,1,1,1,,,17,8////,,UB
53,1,20,1,9,0,10,30,1,1,,,,8,0,3,2,,,17,810//,,kE
53,1,20,1,9,0,12,25,1,2,,,,11,0,1,1,,,17,8////,,kA/kE/UB
53,1,20,1,9,0,12,35,1,1,,,,1,1,1,1,,,17,8////,b-c-d-e-f,kA/kE
53,1,20,1,9,0,12,35,1,1,,,,5,0,1,1,,,17,8////,,kA/kE
83,1,20,1,9,2,13,30,1,0,2,1,,11,2,1,2,,99,11,8////,,kA kE
93,1,20,1,9,0,14,0,2,1,7,1,2,1,1,1,1,,,35,8////,c-d,
83,1,20,1,9,2,15,10,1,1,2,1,,1,2,1,1,,99,11,8////,b-c-d-e-f-g,kA kE
83,1,20,1,9,2,15,10,1,1,2,1,,4,2,1,2,,99,11,8////,,kA kE
83,1,20,1,9,2,15,10,1,1,2,1,,5,2,1,2,,99,11,8////,,kA kE
53,2,20,1,9,0,16,40,1,2,,,,8,0,3,2,,,17,803//,,kA/kE
53,2,20,1,9,0,23,0,1,5,,,,1,1,1,2,,,17,8////,,kA/kE
4,1,20,1,10,0,10,45,1,1,3,1,3,11,2,1,2,2,4,8,8////,,
83,1,20,1,10,2,14,2,1,1,,,,2,2,1,2,,,11,8////,,
93,2,20,1,10,0,21,0,2,6,7,5,8,1,2,0,1,1,,35,8////,b-c-d-e-f,
56,1,20,1,11,0,10,45,1,5,7,5,0,1,1,1,1,,,2,8////,c-d-e-f,
61,1,20,1,11,0,11,45,1,3,6,1,7,3,0,1,1,,,7,8////,,
61,1,20,1,11,0,14,30,1,8,6,1,7,2,1,2,2,,,7,8////,,
