KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
11,1,88,1,1,0,,,,,,,,1,,,,,,21,8////,,
11,1,88,1,1,0,,,,,,,,5,,,,,,21,8////,,
2,2,88,1,1,0,0,0,1,10,5,5,0,1,1,0,2,1,9,8,8////,,
18,2,88,1,1,1,0,0,2,1,8,3,0,1,2,1,2,,4,16,8////,,Isergebirge
26,2,88,1,1,0,0,0,2,6,8,5,,1,1,0,2,1,2,8,8////,,
26,2,88,1,1,0,0,0,2,6,8,5,,5,1,0,1,1,2,8,8////,,
29,2,88,1,1,2,0,0,2,14,8,3,7,1,1,1,2,1,6,4,8////,,"kA, U 0.50-1.30"
39,2,88,1,1,1,0,0,,,,,,1,,,,,,4,8////,,Golm
27,2,88,1,1,0,0,5,1,3,,,,1,1,1,1,1,,8,8////,a-b-c-d-e-f-g,
34,2,88,1,1,2,1,5,,,,,,1,1,0,1,,24,3,8////,a-h-g,
6,2,88,1,1,1,1,35,2,,6,3,7,1,1,0,1,2,,4,8////,b-c-d,"kE, Regen in den Frühstunden, Golm(Zernsee)"
17,1,88,1,1,0,10,3,1,3,8,4,0,1,1,1,1,,,8,8////,b-c-d-e,
10,1,88,1,1,1,10,20,2,1,9,5,2,3,1,1,1,,,4,8////,,Golm
10,1,88,1,1,1,10,45,2,1,9,5,2,2,1,1,1,,,4,8////,,Golm
15,2,88,1,1,2,17,30,,35,8,1,0,1,3,0,2,,,8,8////,,
15,2,88,1,1,2,17,30,,35,8,1,0,5,3,0,1,,,8,8////,,
28,2,88,1,1,0,19,30,,12,8,3,0,1,3,1,2,4,,8,8////,,
6,2,88,1,1,0,19,40,2,1,5,3,2,1,0,0,1,1,4,4,8////,d-e-f,Golm(Zernsee)
39,2,88,1,1,1,19,50,,,8,3,0,1,,,,,3,4,8////,,Golm
2,2,88,1,1,0,20,0,1,7,3,5,2,1,2,1,2,4,,8,8////,,
4,2,88,1,1,0,20,0,2,1,8,3,8,1,1,0,2,1,20,8,8////,,kE
6,2,88,1,1,1,20,0,2,13,8,3,7,1,3,0,2,1,3,4,8////,,"UH, Golm(Zernsee)"
10,2,88,1,1,1,20,0,1,15,8,3,0,1,2,0,2,1,3,4,8////,,"Golm, Cirrus verdichtend"
25,2,88,1,1,0,20,0,2,14,8,3,0,1,2,1,2,1,5,8,8////,,
27,2,88,1,1,0,20,0,1,2,,,,1,1,1,1,2,,8,8////,a-b-c-d-e-f-g,
29,2,88,1,1,2,20,0,1,2,3,3,,1,1,1,2,4,,4,8////,,
41,2,88,1,1,0,21,0,1,0,5,3,,1,1,0,1,,,8,8////,f-g-h-a-b,kE
25,2,88,1,1,0,23,30,2,9,8,3,0,1,2,0,2,,3,8,8////,,
26,2,88,1,2,0,6,20,,2,7,4,5,1,1,1,1,,,8,8////,c-d-e,
15,2,88,1,2,2,19,35,,4,6,1,0,1,1,0,1,,2,8,8////,b-c-d-e-f-g-h,
11,1,88,1,3,0,,,,,,,,2,,,,,,21,8////,,
38,1,88,1,3,0,14,0,1,0,3,1,8,1,1,1,1,3,14,8,8////,d,kA
41,1,88,1,3,0,14,6,1,0,4,1,5,3,1,1,1,2,,8,8////,,
40,1,88,1,3,0,15,10,,,,,,2,,,,,,1,8////,,
7,2,88,1,3,0,17,51,1,2,8,1,3,10,1,0,1,1,9,7,80201,,kE
25,2,88,1,3,0,19,50,1,3,4,3,5,1,1,1,2,,,8,8////,,
6,2,88,1,3,0,23,20,1,2,4,3,8,1,1,0,1,4,3,4,8////,c-d-e,
11,1,88,1,4,0,,,,,,,,1,,,,,,21,8////,,
29,1,88,1,4,1,10,40,2,2,4,5,8,3,0,1,1,,3,4,8////,,
29,1,88,1,4,2,11,0,2,2,4,5,8,2,1,1,1,,2,4,8////,,Ende durch Ac
29,1,88,1,4,2,11,10,2,1,4,5,8,5,1,1,1,,2,4,8////,,Ende durch Ac
40,1,88,1,4,0,13,5,,,,,,2,,,,,,1,8////,,
39,2,88,1,4,0,20,45,,,5,4,8,1,,,,,,4,8////,b-c-d-e,kE
4,2,88,1,5,2,4,27,2,3,8,3,9,1,1,0,1,2,4,8,8////,b-c-d,UH
7,2,88,1,5,0,5,32,2,1,8,3,2,1,0,0,2,2,,7,8////,,kE
2,2,88,1,5,0,6,15,1,6,4,5,3,1,1,1,2,2,3,8,8////,,
15,2,88,1,5,2,6,20,,7,5,1,2,1,1,0,1,,,8,8////,b-c-d-e-f,
25,2,88,1,5,0,6,40,2,1,8,3,5,1,2,1,1,4,4,8,8////,b-c-d-e-f,
