KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
25,2,94,1,1,2,0,0,1,11,8,3,7,1,2,1,1,,0,7,8////,a-b-c-d-e-f-g,
43,2,94,1,1,0,0,50,2,12,8,3,0,1,2,1,2,,,8,8////,,
2,2,94,1,1,0,5,0,0,,4,3,0,1,2,1,2,,,8,8////,,
38,1,94,1,1,0,11,40,1,17,8,3,5,5,2,1,1,,,8,8////,,UH
9,1,94,1,1,0,11,45,1,0,9,5,8,2,1,1,1,2,,8,8////,,5'
43,1,94,1,1,0,11,45,1,15,7,5,8,1,1,1,1,,,8,8////,b-c-d-e-f,*
43,1,94,1,1,0,11,45,1,15,7,5,8,5,2,1,1,,,8,8////,,*
43,1,94,1,1,0,11,45,1,12,7,5,8,12,1,1,1,,,8,8////,b-c-d-e-f,*
9,1,94,1,1,0,12,0,1,0,9,5,8,1,1,1,1,2,,8,8////,d,5'
4,1,94,1,1,0,12,35,2,2,8,3,5,1,1,4,1,2,,8,8////,c-d-e,kE
4,1,94,1,1,0,12,35,2,2,8,3,5,5,1,1,1,2,,8,8////,,kE
2,1,94,1,1,0,12,50,0,3,,3,2,1,1,1,1,,,8,8////,c-d-e,
2,1,94,1,1,0,12,50,0,3,,3,2,5,1,1,1,,,8,8////,,
43,1,94,1,1,0,13,15,1,4,7,5,5,3,1,1,,,,8,8////,,*
43,1,94,1,1,0,13,15,1,5,7,5,5,8,1,0,2,,,8,808//,,*
38,1,94,1,1,0,13,25,1,2,8,3,5,1,1,1,1,,,8,8////,c-d-e,
41,1,94,1,1,1,15,21,2,0,7,1,8,1,1,1,1,,,8,8////,d,Hermsdorf/Erzgeb.
41,1,94,1,1,1,15,27,2,0,7,1,8,8,1,1,1,,,8,802//,,Hermsdorf/Erzgeb.
29,1,94,1,1,1,15,35,2,1,2,3,7,8,1,0,2,,,16,802//,,Riesengebirge
2,2,94,1,2,0,5,30,0,,3,3,7,1,1,1,1,2,6,8,8////,c-d-e-f,
41,1,94,1,2,1,9,43,2,1,7,1,8,1,1,1,1,,,8,8////,b-c-d-e,"kE, Hermsdorf/Erzgeb."
43,1,94,1,2,0,9,50,1,12,8,5,7,1,1,1,1,,,8,8////,c-d-e,
43,1,94,1,2,0,9,50,1,6,8,5,7,3,1,1,,,,8,8////,,
43,1,94,1,2,0,9,50,1,12,8,5,7,5,1,1,1,,,8,8////,,
4,1,94,1,2,0,9,51,2,1,8,3,7,1,0,4,1,1,1,8,8////,c-d-e,
29,1,94,1,2,1,9,55,1,4,7,5,2,3,1,1,1,,,16,8////,,"UH:10.05-10.15, Riesengebirge"
29,1,94,1,2,1,10,0,1,12,8,5,2,1,1,1,1,,,16,8////,b-c-d-e-f,"UB:10.30-11.50 durch Nebel, Riesengebirge"
33,1,94,1,2,1,10,10,2,5,7,5,7,1,1,1,1,1,5,16,8////,,Prag
29,1,94,1,2,1,11,50,2,1,,,,11,1,1,1,,,16,8////,,"40°L-40°R, kA kE, Riesengebirge"
20,1,94,1,2,0,15,5,2,1,3,1,2,1,1,4,1,3,0,9,8////,c-d-e,
20,1,94,1,3,0,12,5,0,6,9,3,2,1,2,1,1,1,,9,8////,b-c-d-e-f,kA
22,1,94,1,3,0,12,11,1,4,6,3,2,5,1,4,2,1,4,5,8////,,*
22,1,94,1,3,0,12,17,1,2,7,3,,1,1,0,1,1,4,5,8////,b-c-d-e-f,*
22,1,94,1,3,0,12,17,1,1,7,3,,3,1,0,2,1,4,5,8////,,*
22,1,94,1,3,0,12,20,1,1,7,3,,2,2,1,2,1,4,5,8////,,*
22,1,94,1,3,0,12,20,1,1,7,3,,11,3,1,2,1,4,5,8////,,*
22,1,94,1,3,0,12,20,1,1,7,3,,27,1,4,2,1,4,5,8////,,*
22,1,94,1,3,0,12,39,2,1,8,3,,12,1,4,1,1,4,5,8////,c-d-e,*
23,1,94,1,3,0,12,50,2,0,9,2,2,1,1,1,1,,,10,8////,d,
50,1,94,1,3,0,12,55,1,1,2,,2,2,1,1,2,,2,9,8////,,kE
50,1,94,1,3,0,12,55,1,1,2,,2,3,1,1,2,,2,9,8////,,kE
2,1,94,1,4,0,9,30,0,4,2,6,0,1,1,1,1,,,8,8////,c,
38,1,94,1,4,0,9,30,1,1,7,5,0,1,0,1,1,,,8,8////,c-d-e,
29,1,94,1,4,0,9,50,2,34,6,5,8,1,1,1,1,,,8,8////,b-c-d-e-f,UB mehrmals
43,1,94,1,4,2,10,5,1,18,4,1,0,1,1,1,1,,,8,8////,c-d-e,
29,1,94,1,4,0,10,35,2,0,5,4,0,3,1,1,1,,,8,8////,,
29,1,94,1,4,0,11,50,2,17,7,5,5,1,1,1,1,1,5,8,8////,c-d-e,"kE durch As, UB 12.20-14.20"
24,1,94,1,4,0,12,20,2,1,6,1,8,1,0,0,1,3,,8,8////,d-e-f,
43,1,94,1,4,2,12,30,1,2,6,1,0,3,1,1,,,,8,8////,,
38,1,94,1,4,0,12,50,2,2,4,5,0,1,0,1,1,,,8,8////,c-d-e,
9,1,94,1,4,0,13,15,1,6,,,,1,1,1,1,,,8,8////,c-d-e,"kA kE UB, fraktuiert"
25,1,94,1,4,2,13,20,2,1,8,3,0,1,0,0,1,,,7,8////,c-d-e,
4,1,94,1,4,2,13,23,2,0,7,1,9,1,0,4,1,2,,8,8////,c-d-e,
28,1,94,1,4,0,13,43,2,0,6,3,7,1,0,1,1,,,8,8////,d,
22,1,94,1,4,0,14,0,1,1,3,5,,3,2,1,2,,2,5,8////,,
29,1,94,1,4,0,14,0,2,4,6,5,8,2,1,1,1,,,8,8////,,
2,1,94,1,4,0,14,20,0,,2,5,7,1,1,1,1,,,8,8////,b-c-d-e,
43,2,94,1,5,0,6,30,2,2,4,1,0,1,1,1,1,,,8,8////,c-d-e-f,
9,1,94,1,5,0,8,20,,0,,,8,8,1,0,2,,6,8,805//,,an Ac/Sc nicht an Ci!
38,1,94,1,5,0,10,35,1,6,8,7,0,1,0,1,1,1,5,8,8////,c-d-e-f,
2,1,94,1,5,0,10,50,1,3,2,5,2,1,1,1,1,,,8,8////,c-d-e-f,
2,1,94,1,5,0,10,50,1,3,2,5,2,5,1,1,1,,,8,8////,,
25,1,94,1,5,2,10,50,2,1,8,3,8,1,2,1,1,,,7,8////,d,kE
9,1,94,1,5,0,11,0,1,4,6,1,0,1,1,1,1,,4,8,8////,b-c-d-e-f,
9,1,94,1,5,0,11,10,1,1,6,1,2,3,2,1,2,,4,8,8////,,"schön hell, aber schneller Zerfall"
44,1,94,1,5,1,11,45,2,3,7,5,7,1,0,1,1,,,8,8////,b-c-d-e-f,"UH, zwischen Elsterwerda und Riesa"
48,1,94,1,5,0,11,45,2,,9,6,2,1,1,1,1,,0,4,8////,b-c-d-e-f,"kA, UH"
44,1,94,1,5,1,12,0,2,1,7,5,7,2,0,1,1,,,8,8////,,Riesa
29,1,94,1,5,0,12,20,1,1,6,5,7,3,1,1,1,1,5,8,8////,,sehr deutlich
10,1,94,1,5,0,13,10,2,1,8,5,3,3,1,1,1,1,3,4,8////,,
10,1,94,1,5,0,13,15,1,5,8,5,3,1,2,1,1,1,3,4,8////,b-c-d-e-f,
48,1,94,1,5,0,13,15,2,,9,3,4,1,1,1,1,,4,4,8////,c-d-e,"kA, UH"
10,1,94,1,5,0,13,20,1,2,8,5,3,2,3,1,2,1,3,4,8////,,
44,1,94,1,5,1,13,35,2,0,8,3,7,1,0,1,1,,2,8,8////,b-c-d,Chemnitz
44,1,94,1,5,1,13,35,2,0,8,3,7,2,0,1,1,,2,8,8////,,Chemnitz
43,1,94,1,5,2,13,50,2,3,7,5,7,1,1,1,1,,,8,8////,c-d-e,
28,1,94,1,5,0,13,55,,,0,0,0,1,0,1,1,,4,8,8////,c-d-e,kA kE UH
29,1,94,1,5,0,13,55,2,2,8,3,7,2,1,1,1,1,3,8,8////,,
25,1,94,1,6,2,10,0,2,19,8,3,7,1,1,1,1,,8,7,8////,b-c-d/f,
29,1,94,1,6,0,10,10,2,1,8,3,8,3,1,1,1,,,8,8////,,kE durch Ac
29,1,94,1,6,0,10,15,1,10,8,3,8,1,1,1,1,,,8,8////,b-c-d-e-f,"kE durch Ac, UB 10.25-11.45"
29,1,94,1,6,2,10,25,2,1,8,3,7,2,1,1,1,,,8,8////,,
2,1,94,1,6,0,11,0,1,4,,3,7,1,0,1,1,,,8,8////,c-d,
9,1,94,1,6,0,11,10,1,2,8,3,2,1,0,4,1,,,8,8////,c-d-e,
9,1,94,1,6,0,11,10,1,1,8,3,2,5,1,1,1,,,8,8////,,
4,1,94,1,6,2,11,35,2,2,8,3,8,1,0,4,1,1,,8,8////,b-c-d-e-f,
44,1,94,1,6,1,12,15,2,1,8,3,7,1,0,0,1,,,8,8////,b-c-d,Chemnitz
2,1,94,1,7,0,11,30,1,5,,3,9,1,0,1,1,,,8,8////,c-d/f,
25,1,94,1,7,0,11,30,2,5,8,3,7,1,1,1,1,,,8,8////,c-d-e,
28,1,94,1,7,0,11,45,,0,0,0,1,1,0,1,1,,,8,8////,c-d-e,
51,1,94,1,7,0,12,10,1,2,7,3,9,1,1,0,1,1,18,8,8////,b-c/e,UH durch tiefe Wolken
23,1,94,1,8,1,9,25,2,0,3,1,0,3,1,1,,2,,6,8////,,Marburg
23,1,94,1,8,1,9,35,2,0,3,1,0,2,1,1,,2,,6,8////,,Marburg
22,1,94,1,8,0,12,45,1,4,7,3,,1,1,4,1,,,5,8////,b-c-d-e-f,
22,1,94,1,8,0,12,45,1,8,7,3,,5,2,4,2,,,5,8////,,
22,1,94,1,8,0,13,45,1,3,7,3,,11,1,4,2,,,5,8////,,
22,1,94,1,8,0,15,5,1,1,5,5,,2,1,4,2,,,5,8////,,
