KK,O,JJ,MM,TT,g,ZS,ZM,d,DD,N,C,c,EE,H,F,V,f,zz,GG,8HHHH,sectors,remarks
62,2,13,1,1,0,1,5,2,1,8,3,0,1,1,0,1,,,10,8////,a-g,kA kE
6,2,13,1,1,0,3,44,1,9,6,5,2,1,1,4,2,,,4,8////,,
53,1,13,1,1,0,9,30,4,1,0,0,,1,0,1,1,,,17,8////,d,kA/kE
53,1,13,1,1,0,10,20,1,32,,,,1,0,1,1,,,17,8////,b/f,kA/kE/UH/UB
77,1,13,1,1,0,11,50,2,4,8,3,8,1,0,1,1,2,2,8,8////,a-b-c-d-e-f,
77,1,13,1,1,0,11,50,2,4,8,3,8,5,1,1,1,2,2,8,8////,,
77,1,13,1,1,0,11,50,2,4,8,3,8,11,0,1,1,2,2,8,8////,,
3,1,13,1,1,0,12,5,2,12,6,5,8,4,1,1,1,,,11,8////,,kA Uh
53,1,13,1,1,0,14,20,1,8,,,,3,1,1,1,,,17,8////,,kA/kE
53,1,13,1,1,0,14,50,1,5,,,,2,1,1,1,,,17,8////,,kE
93,2,13,1,2,0,6,20,1,1,9,1,8,1,0,0,1,1,3,35,8////,c-d-e,
53,2,13,1,2,0,10,15,1,5,,,,1,1,1,1,,,17,8////,c-d-e-f,kA/kE/UB
3,2,13,1,2,0,22,45,1,2,2,1,0,8,1,0,1,,,11,808//,,
6,2,13,1,3,0,2,11,1,2,5,3,0,1,0,3,1,,,4,8////,b-c-d-e-f,
59,2,13,1,4,0,3,40,1,11,7,3,0,1,1,0,2,1,6,1,8////,,B:01
6,2,13,1,4,0,5,59,1,0,4,3,2,1,1,3,1,,,4,8////,a-b-c-d-e-f-g,
4,1,13,1,4,2,10,0,1,3,8,5,4,1,1,4,1,1,2,8,8////,b-c-d-e-f,
93,1,13,1,4,0,11,50,1,1,5,1,5,1,0,1,1,1,,35,8////,c-d-e,Within warm sector.
93,1,13,1,5,0,11,30,2,3,7,1,8,1,1,1,1,,,35,8////,b-c-d-e-f,
93,1,13,1,5,0,11,30,2,3,7,1,8,4,1,1,2,,,35,8////,,Barely coloured.
62,1,13,1,7,0,13,0,2,2,8,3,5,1,1,0,1,,,10,8////,b-c-d-e-f,kA kE
72,1,13,1,7,0,13,30,1,0,5,1,8,3,1,1,1,,,10,8////,,Punch Hole Cloud?
72,1,13,1,7,0,13,37,1,1,5,1,8,5,0,0,1,,,10,8////,,-
72,1,13,1,7,0,13,37,1,2,5,1,8,11,1,1,1,,,10,8////,,-
61,1,13,1,7,2,13,40,1,3,7,5,2,1,1,3,1,,,10,8////,c-d-e-f,g 74564 Crailsheim
72,1,13,1,7,0,13,41,1,2,5,1,8,2,1,1,1,,,10,8////,,Schweifansatz
61,1,13,1,7,2,13,55,1,1,7,5,2,3,1,3,1,,,10,8////,,g 74564 Crailsheim
3,1,13,1,7,0,16,35,7,2,0,0,8,8,2,4,1,,,11,810//,,
51,1,13,1,8,2,8,30,1,3,5,1,8,2,0,4,1,,,11,8////,,Garmisch Partenkirchen
51,1,13,1,8,2,8,30,1,3,5,1,8,3,1,4,1,,,11,8////,,Garmisch-Partenkirchen
51,1,13,1,8,2,11,30,1,12,5,1,8,1,0,4,1,,,11,8////,b-c-d-e-f-g,UH
51,1,13,1,8,2,13,0,1,3,5,1,8,3,1,1,1,,,11,8////,,
51,1,13,1,8,2,13,0,1,3,5,1,8,11,0,1,1,,,11,8////,,
51,1,13,1,9,2,8,40,1,2,5,1,8,2,0,4,1,,,11,8////,,
51,1,13,1,9,2,8,40,1,2,5,1,8,3,1,4,1,,,11,8////,,
3,1,13,1,9,0,10,50,1,27,6,5,0,4,1,1,1,,,11,8////,,UH
3,1,13,1,9,0,11,0,1,24,6,5,0,1,1,1,1,,,11,8////,c-d-e,UH
3,1,13,1,9,0,16,20,1,2,6,5,0,8,1,3,1,,,11,810//,,
46,1,13,1,10,2,12,35,1,2,7,5,8,3,1,1,1,,,8,8////,,kA
3,1,13,1,11,0,15,0,0,1,2,1,2,2,1,3,1,,,11,8////,,
53,5,13,1,11,0,18,0,,1,,,,8,1,5,2,,,17,810//,,"kA/kE/am Licht vom Schizirkus Hochficht, Abendschilauf"
13,1,13,1,12,0,8,20,7,6,0,0,2,8,2,4,2,,,5,820//,,unter Sc
74,1,13,1,12,0,10,20,5,6,0,0,0,1,1,1,1,,,2,8////,g-h-a,"kA kE, Kristallbild vorhanden"
74,1,13,1,12,0,10,20,5,6,0,0,0,12,1,1,1,,,2,8////,g-h-a,"kA kE, Kristallbild vorhanden"
93,1,13,1,12,0,12,0,1,0,5,1,8,2,1,1,2,,,35,8////,,In contrail.
93,1,13,1,12,0,12,0,2,0,5,1,8,3,0,1,1,,,35,8////,,Weak colouring.
